my,vwretd,vwretx,E,Real_E,year,cpi,tb3ms,tb1yr,log_cpi,log_lcpi,inflation,L_inflation,exp_inflation,rfree,X,Pt,Dt,Rt
1929m3,.04523866,.03641301,,,,,,,,,,,,,1.036413,1.036413,,.045238659
1929m6,.05335318,.044066,,,,,,,,,,,,,1.044066,1.0820835,.0096253539,.053353179
1929m9,.07794552,.06957769,,,,,,,,,,,,,1.0695777,1.1573724,.0090546906,.077945523
1929m12,-.2846077,-.293568,,,,,,,,,,,,,.70643198,.81760484,.010370404,-.28460771
1930m3,.169519,.1578364,1.45,21.5209600591716,1930,98.255821,,,4.5875745,,,,,,1.1578364,.94665271,.0095517505,.16951901
1930m6,-.1887617,-.1974177,1.29,19.26019910714286,1930,97.674477,,,4.5816402,4.5875745,-.0059342384,,,,.80258232,.7597667,.0081942258,-.1887617
1930m9,-.08473824,-.09555202,1.13,17.0746063253012,1930,96.511719,,,4.5696645,4.5816402,-.011975765,-.0059342384,.00059246272,,.90444797,.68716943,.0082159499,-.08473824
1930m12,-.1812226,-.1926561,.97,15.11214813664596,1930,93.60466,,,4.5390801,4.5696645,-.030584335,-.011975765,-.0025452212,,.8073439,.55478209,.0078567518,-.1812226
1931m3,.1062724,.09252745,.88,14.14941282051282,1931,90.697754,,,4.5075326,4.5390801,-.031547546,-.030584335,-.012209634,,1.0925275,.60611469,.0076254522,.1062724
1931m6,-.1112667,-.1235838,.79,13.1229201986755,1931,87.790779,,,4.4749565,4.5075326,-.032576084,-.031547546,-.012709881,,.87641621,.53120875,.0074655754,-.1112667
1931m9,-.3367518,-.3464837,.7,11.70542333333333,1931,87.209328,,,4.4683113,4.4749565,-.0066452026,-.032576084,-.013244055,,.65351629,.34715354,.0051696706,-.33675179
1931m12,-.1471666,-.1641505,.61,10.4799044520548,1931,84.883713,,,4.4412823,4.4683113,-.027029037,-.0066452026,.00022322146,,.83584952,.29016814,.0058960211,-.14716659
1932m3,-.06922325,-.08536859,.5600000000000001,10.03322,1932,81.395355,,,4.3993182,4.4412823,-.041964054,-.027029037,-.01036318,,.91463143,.26539689,.0046848631,-.069223247
1932m6,-.3514124,-.3663077,.51,9.406143750000002,1932,79.069824,,,4.3703313,4.3993182,-.028986931,-.041964054,-.018119723,,.63369232,.16817997,.0039531663,-.35141239
1932m9,.7858668999999999,.7637775,.46,8.610599253731344,1932,77.907051,,,4.3555164,4.3703313,-.014814854,-.028986931,-.011380018,,1.7637775,.29663205,.0037149948,.78586692
1932m12,-.1461441,-.159394,.41,7.850420229007634,1932,76.162811,,,4.3328733,4.3555164,-.022643089,-.014814854,-.0040197098,,.84060597,.24935068,.0039303452,-.14614411
1933m3,-.1165853,-.1301885,.4175,8.311248710317461,1933,73.255821,,,4.2939577,4.3328733,-.038915634,-.022643089,-.0080853263,,.86981148,.21688809,.0033919672,-.1165853
1933m6,.9170395,.9009087,.425,8.393934055118111,1933,73.837273,,,4.3018637,4.2939577,.0079059601,-.038915634,-.016536517,,1.9009087,.41228443,.0034985782,.91703951
1933m9,-.09398053,-.1009805,.4325,8.218499337121214,1933,76.744247,,,4.3404784,4.3018637,.03861475,.0079059601,.007780409,,.89901948,.37065175,.0028859787,-.093980528
1933m12,.02590637,.01524378,.44,8.361016666666668,1933,76.744247,,,4.3404784,4.3404784,0,.03861475,.023729105,,1.0152438,.37630188,.0039521079,.025906369
1934m3,.1042782,.09411627,.4525,8.53389483082707,1934,77.325691,.23999999,,4.3480263,4.3404784,.0075478554,0,.0036744261,-.0012744261,1.0941162,.41171798,.0038239534,.1042782
1934m6,-.06621149,-.07473294,.465,8.704192723880599,1934,77.907089,.15000001,,4.3555169,4.3480263,.0074906349,.0075478554,.0075944262,-.0060944259,.92526704,.38094908,.0035084342,-.066211492
1934m9,-.06078538,-.07148106,.4775,8.806732628676471,1934,79.069862,.20999999,,4.3703318,4.3555169,.014814854,.0074906349,.0075647086,-.0054647084,.92851895,.35371843,.0040745093,-.060785379
1934m12,.06542209,.05365022,.49,9.172160074626866,1934,77.907089,.23,,4.3555169,4.3703318,-.014814854,.014814854,.011368562,-.0090685626,1.0536503,.37269554,.0041639274,.065422088
1935m3,-.08636016,-.09693463,.73,13.36542080291971,1935,79.65126,.15000001,,4.3776579,4.3555169,.02214098,-.014814854,-.0040197098,.00551971,.90306538,.33656842,.0039410577,-.086360157
1935m6,.1933417,.1818953,.8100000000000001,14.83012445255475,1935,79.65126,.15000001,,4.3776579,4.3776579,0,.02214098,.015173406,-.013673406,1.1818953,.39778861,.0038524966,.1933417
1935m9,.1316765,.121101,.76,13.91468467153285,1935,79.65126,.2,,4.3776579,4.3776579,0,0,.0036744261,-.0016744261,1.121101,.44596124,.0042068134,.1316765
1935m12,.1788206,.1666265,.76,13.81385362318841,1935,80.23262,.15000001,,4.3849301,4.3776579,.0072722435,0,.0036744261,-.0021744261,1.1666265,.52027017,.0054380959,.1788206
1936m3,.1057796,.09681317,.79,14.46394854014599,1936,79.65126,.2,,4.3776579,4.3849301,-.0072722435,.0072722435,.0074512861,-.0054512862,1.0968132,.57063919,.0046649659,.1057796
1936m6,-.009838375,-.01913997,.88,15.9949884057971,1936,80.232658,.2,,4.3849306,4.3776579,.0072727203,-.0072722435,-.00010243398,.0021024339,.98086005,.55971718,.0053078546,-.0098383753
1936m9,.09044933,.07988635,.94,16.84147642857143,1936,81.395393,.16,,4.3993187,4.3849306,.014388084,.0072727203,.0074515338,-.0058515337,1.0798863,.60443091,.0059122816,.090449333
1936m12,.1082297,.09042774,1.02,18.27479357142858,1936,81.395393,.12,,4.3993187,4.3993187,0,.014388084,.011146918,-.0099469181,1.0904278,.65908825,.010760055,.1082297
1937m3,.04394723,.03584883,1.11,19.60717288732395,1937,82.558174,.38,,4.4135032,4.3993187,.014184475,0,.0036744261,.00012557383,1.0358489,.68271583,.0053375601,.043947231
