date,t90ret,t90ind,cpiret,cpiind
19251231,,34.83693,,42.1
19260331,0.01009,35.18843,-0.005587,41.9
19260630,0.008519,35.48824,-0.005618,41.6
19260930,0.006599,35.72245,-0.011299,41.2
19261231,0.010345,36.09197,0.011428,41.6
19270331,0.006911,36.34143,-0.022598,40.7
19270630,0.008821,36.662,0.01734,41.4
19270930,0.008071,36.95791,-0.017045,40.7
19271231,0.006762,37.20783,0,40.7
19280331,0.007956,37.50384,-0.011561,40.2
19280630,0.006897,37.7625,0,40.2
19280929,0.00983,38.13372,0.011696,40.7
19281231,0.019068,38.86087,-0.01156,40.2
19290328,0.010424,39.26596,-0.005848,40
19290629,0.012697,39.76451,0.005882,40.2
19290930,0.011683,40.22906,0.011696,40.7
19291231,0.013535,40.77356,-0.00578,40.5
19300331,0.008532,41.12144,-0.017442,39.8
19300630,0.009925,41.52959,-0.005917,39.5
19300930,0.005498,41.75791,-0.011905,39.1
19301231,0.003266,41.8943,-0.030121,37.9
19310331,0.003902,42.05779,-0.031056,36.7
19310630,0.002702,42.17146,-0.032051,35.5
19310930,-0.000426,42.15352,-0.006623,35.3
19311231,0.000878,42.19052,-0.026667,34.4
19320331,0.003162,42.32391,-0.041096,32.9
19320630,0.003795,42.48451,-0.028571,32
19320930,0.001186,42.53492,-0.014706,31.5
19321231,0.000545,42.55812,-0.022389,30.8
19330331,-0.000531,42.53551,-0.038168,29.6
19330630,0.004136,42.71143,0.007937,29.9
19330930,0.000913,42.75042,0.03937,31.1
19331230,0.000135,42.7562,0,31.1
19340331,0.002493,42.8628,0.007576,31.3
19340630,0.00019,42.87092,0.007519,31.5
19340929,0.000174,42.87841,0.014925,32
19341231,0.000442,42.89736,-0.014706,31.5
19350330,0.0003,42.91021,0.022388,32.2
19350629,0.000379,42.92648,0,32.2
19350930,0.000387,42.9431,0,32.2
19351231,0.000552,42.96679,0.007299,32.5
19360331,0.000462,42.98665,-0.007246,32.2
19360630,0.000634,43.01392,0.007299,32.5
19360930,0.000372,43.02991,0.014492,32.9
19361231,0.00039,43.04671,0,32.9
19370331,0.00013,43.05231,0.014286,33.4
19370630,0.001994,43.13815,0.014084,33.9
19370930,0.001254,43.19225,0.013889,34.4
19371231,0.001056,43.23789,-0.013699,33.9
19380331,0.000383,43.25447,-0.020833,33.2
19380630,0.000296,43.26726,0,33.2
19380930,0.000174,43.27478,0,33.2
19381231,-0.000417,43.25674,-0.007092,32.9
19390331,-0.000052,43.25451,-0.007143,32.7
19390630,0.000066,43.25733,-0.007194,32.5
19390930,0.000091,43.26127,0.021739,33.2
19391230,0.000068,43.26423,-0.007092,32.9
19400330,0.000104,43.26872,0,32.9
19400629,-0.00004,43.26698,0.007143,33.2
19400930,0.000085,43.27067,-0.007092,32.9
19401231,0.000043,43.27252,0.007143,33.2
19410331,-0.009467,42.86284,0.007092,33.4
19410630,0.000039,42.86451,0.035211,34.6
19410930,0.002439,42.96909,0.027211,35.5
19411231,0.000204,42.97783,0.026491,36.5
19420331,0.000941,43.01831,0.032257,37.6
19420630,0.000942,43.05883,0.01875,38.4
19420930,0.000999,43.10185,0.01227,38.8
19421231,0.001064,43.14773,0.024242,39.8
19430331,0.000982,43.19013,0.017751,40.5
19430630,0.001035,43.23486,0.017442,41.2
19430930,0.001044,43.28001,-0.005714,40.9
19431231,0.001004,43.32348,0,40.9
19440331,0.000987,43.36623,0,40.9
19440630,0.000991,43.40922,0.011494,41.4
19440930,0.000987,43.4521,0.005682,41.6
19441230,0.001005,43.49579,0.00565,41.9
19450331,0.000991,43.53888,0,41.9
19450630,0.001002,43.58253,0.016854,42.6
19450929,0.001005,43.62636,0,42.6
19451231,0.000991,43.66959,0.005525,42.8
19460330,0.00091,43.70934,0.005494,43.1
19460628,0.000933,43.75013,0.021858,44
19460930,0.000988,43.79337,0.09091,48
19461231,0.000984,43.83649,0.053922,50.6
19470331,0.000933,43.87739,0.018605,51.5
19470630,0.000958,43.91944,0.004566,51.8
19470930,0.001561,43.988,0.045455,54.1
19471231,0.00224,44.08652,0.017391,55.1
19480331,0.002454,44.19472,0.000001,55.1
19480630,0.002498,44.30512,0.029915,56.7
19480930,0.002826,44.43032,0.016597,57.6
19481231,0.000789,44.46537,-0.016327,56.7
19490331,0.00286,44.59252,-0.012447,56
19490630,0.00301,44.72675,0.004202,56.2
19490930,0.002761,44.85025,0,56.2
19491230,0.002729,44.97267,-0.012552,55.5
19500331,0.002771,45.09724,0,55.5
19500630,0.002898,45.22792,0.008474,56
19500929,0.002853,45.35695,0.02521,57.4
19501229,0.003429,45.51246,0.024591,58.8
19510330,0.003266,45.66111,0.032,60.7
19510629,0.003851,45.83693,0.003876,60.9
19510928,0.004114,46.02551,0.007722,61.4
19511231,0.00436,46.22617,0.015326,62.4
19520331,0.004938,46.45442,-0.007547,61.9
19520630,0.003973,46.63902,0.007604,62.4
19520930,0.005088,46.87629,0.007547,62.8
19521231,0.004939,47.10779,0,62.8
19530331,0.005376,47.36109,-0.003744,62.6
19530630,0.006082,47.64912,0.007518,63.1
19530930,0.006333,47.95087,0.003731,63.3
