date,vwretd,vwretx
19260130,-0.001783,-0.00398
19260227,-0.033296,-0.037876
19260331,-0.057708,-0.062007
19260430,0.038522,0.034856
19260528,0.013623,0.00907
19260630,0.056427,0.050196
19260731,0.040403,0.038168
19260831,0.029822,0.025747
19260930,0.01342,0.009122
19261030,-0.030172,-0.032434
19261130,0.026937,0.019367
19261231,0.026047,0.020321
19270131,-0.00291,-0.005579
19270228,0.045522,0.040566
19270331,0.007324,0.00261
19270430,0.013021,0.010907
19270531,0.062353,0.057096
19270630,-0.02037,-0.025705
19270730,0.08445,0.081687
19270831,0.03332,0.028624
19270930,0.053016,0.049095
19271031,-0.046804,-0.04896
19271130,0.070546,0.06427
19271231,0.019295,0.014403
19280131,-0.007182,-0.0092
19280229,-0.012549,-0.016679
19280331,0.105752,0.101652
19280430,0.034725,0.032715
19280531,0.012325,0.007422
19280630,-0.03433,-0.038725
19280731,0.010117,0.008278
19280831,0.07023,0.065514
19280929,0.022409,0.019937
19281031,0.013839,0.012055
19281130,0.122975,0.116704
19281231,0.006232,0.002888
19290131,0.055473,0.053892
19290228,-0.004874,-0.008075
19290328,0.000154,-0.003213
19290430,0.019559,0.018234
19290531,-0.041281,-0.046101
19290629,0.112294,0.109584
19290731,0.050014,0.048186
19290830,0.094871,0.090733
19290930,-0.050941,-0.053046
19291031,-0.18615,-0.188115
19291127,-0.125359,-0.130374
19291231,0.027753,0.023571
19300131,0.059632,0.057032
19300228,0.026041,0.021516
19300331,0.072348,0.069351
19300430,-0.013938,-0.015867
19300529,-0.011148,-0.015304
19300630,-0.155715,-0.159182
19300731,0.038713,0.036395
19300829,0.011266,0.006691
19300930,-0.123549,-0.127635
19301031,-0.08368,-0.086394
19301129,-0.019736,-0.024113
19301231,-0.071479,-0.077707
19310131,0.059527,0.056729
19310228,0.110943,0.105279
19310331,-0.068939,-0.073451
19310430,-0.092955,-0.09546
19310529,-0.137674,-0.14302
19310630,0.146492,0.139763
19310731,-0.075465,-0.07857
19310831,0.007779,0.002304
19310930,-0.287461,-0.291524
19311031,0.076738,0.072834
19311130,-0.100909,-0.109396
19311231,-0.137557,-0.145471
19320130,-0.018803,-0.021067
19320229,0.053581,0.045233
19320331,-0.118907,-0.125245
19320430,-0.205295,-0.207637
19320531,-0.232123,-0.240123
19320630,0.002768,-0.006507
19320730,0.391838,0.390006
19320831,0.401979,0.394164
19320930,-0.029526,-0.034118
19321031,-0.142069,-0.143263
19321130,-0.052228,-0.058702
19321231,0.061569,0.053749
19330131,0.013938,0.012575
19330228,-0.179558,-0.186035
19330331,0.038627,0.032581
19330429,0.414312,0.412291
19330531,0.174816,0.170167
19330630,0.137498,0.133994
19330731,-0.084736,-0.085471
19330831,0.123272,0.119807
19330930,-0.118045,-0.121112
19331031,-0.090623,-0.091588
19331129,0.108553,0.10207
19331230,0.026694,0.02443
19340131,0.115033,0.113644
19340228,-0.03284,-0.037272
19340331,0.005355,0.002464
19340430,-0.02549,-0.026944
19340531,-0.078497,-0.082255
19340630,0.02408,0.021102
19340731,-0.119846,-0.121723
19340831,0.05865,0.051629
19340929,-0.000216,-0.003127
19341031,-0.032663,-0.033732
19341130,0.086059,0.080682
19341231,-0.000681,-0.004415
19350131,-0.042368,-0.043755
19350228,-0.03684,-0.04266
19350330,-0.031454,-0.035324
