date,vwretd,vwindd,vwretx,vwindx
19291231,-0.150955,2.542638,-0.182395,17.62696
19301231,-0.289005,1.807804,-0.321455,11.96069
19311231,-0.443873,1.005368,-0.476969,6.255809
19321231,-0.079449,0.925493,-0.140668,5.375813
19331230,0.574131,1.456847,0.509127,8.112785
19341231,0.031843,1.503237,-0.009584,8.035035
19351231,0.454487,2.186439,0.395966,11.21664
19361231,0.323153,2.892992,0.266819,14.20945
19371231,-0.346044,1.891891,-0.380995,8.795719
19381231,0.284359,2.429867,0.23026,10.82102
19391230,0.018435,2.474661,-0.028978,10.50744
19401231,-0.075104,2.288803,-0.127508,9.167662
19411231,-0.100387,2.059037,-0.161102,7.690732
19421231,0.167218,2.403344,0.090504,8.386778
19431231,0.279687,3.075529,0.21598,10.19815
19441230,0.21364,3.732583,0.154754,11.77636
19451231,0.390593,5.190504,0.335428,15.72648
19461231,-0.064212,4.857213,-0.101652,14.12785
19471231,0.032933,5.017174,-0.02283,13.80531
19481231,0.021313,5.124106,-0.040738,13.24292
19491231,0.201096,6.154541,0.121244,14.84854
19501230,0.30473,8.030018,0.217426,18.077
19511231,0.209441,9.711834,0.142646,20.65562
19521231,0.133324,11.00665,0.074015,22.18444
19531231,0.003843,11.04895,-0.050273,21.06915
19541231,0.50412,16.61895,0.433636,30.2055
19551230,0.254135,20.84241,0.20404,36.36861
19561231,0.085817,22.63105,0.043745,37.95955
19571231,-0.103484,20.28911,-0.140687,32.61914
19581231,0.447759,29.37373,0.392664,45.42749
19591231,0.126462,33.08839,0.090692,49.54741
19601230,0.012089,33.48839,-0.021911,48.46175
19611229,0.269605,42.51702,0.233137,59.75996
19621231,-0.103122,38.13258,-0.132913,51.81709
19631231,0.208876,46.09754,0.170997,60.67764
19641231,0.163038,53.61317,0.128491,68.47417
19651231,0.143859,61.32589,0.109939,76.00214
19661230,-0.086888,55.99741,-0.116818,67.12371
19671229,0.285666,71.99398,0.247259,83.72066
19681231,0.141689,82.19475,0.109209,92.86369
19691231,-0.108362,73.28793,-0.13511,80.31689
19701231,0.000731,73.34148,-0.034063,77.58103
19711231,0.161989,85.22202,0.128146,87.52276
19721229,0.173406,100,0.14256,100
19731231,-0.187489,81.25106,-0.21178,78.82199
19741231,-0.279412,58.54856,-0.310612,54.33896
19751231,0.37358,80.42117,0.31818,71.62852
19761231,0.267802,101.9581,0.219255,87.33342
19771230,-0.029697,98.93024,-0.072922,80.96485
19781229,0.085462,107.385,0.032911,83.62949
19791231,0.244143,133.6022,0.182911,98.92625
19801231,0.332396,178.011,0.271273,125.7623
19811231,-0.039868,170.9141,-0.083569,115.2524
19821231,0.204217,205.8177,0.142451,131.6702
19831230,0.226439,252.4229,0.178813,155.2145
19841231,0.031649,260.4117,-0.01146,153.4357
19851231,0.314113,342.2102,0.264614,194.037
19861231,0.155616,395.4635,0.11788,216.91
19871231,0.018309,402.7041,-0.013574,213.9658
19881230,0.175565,473.405,0.129842,241.7476
19891229,0.284313,608.0004,0.240259,299.8297
19901231,-0.060845,571.0065,-0.093885,271.6801
19911231,0.336457,763.1255,0.296356,352.194
19921231,0.090664,832.3134,0.061186,373.7435
19931231,0.115897,928.7758,0.087994,406.6308
19941230,-0.00758,921.7357,-0.032841,393.2766
19951229,0.356824,1250.633,0.325181,521.1628
19961231,0.211764,1515.472,0.187666,618.967
19971231,0.303524,1975.454,0.281866,793.4329
19981231,0.222598,2415.187,0.205019,956.1014
19991231,0.252658,3025.402,0.236461,1182.182
20001229,-0.111594,2687.785,-0.121405,1038.66
20011231,-0.112682,2384.92,-0.124472,909.3758
20021231,-0.208386,1887.936,-0.221066,708.3435
20031231,0.331311,2513.43,0.307751,926.337
20041231,0.129976,2840.116,0.108473,1026.819
20051230,0.073069,3047.64,0.0538,1082.062
20061229,0.162148,3541.808,0.140519,1234.112
20071231,0.072829,3799.754,0.052788,1299.258
20081231,-0.383043,2344.286,-0.397344,783.0065
20091231,0.316155,3085.442,0.283971,1005.357
20101231,0.178922,3637.495,0.154068,1160.251
20111230,-0.008992,3604.788,-0.02938,1126.163
20121231,0.159796,4180.819,0.131174,1273.886
20131231,0.316749,5505.091,0.288799,1641.783
20141231,0.108364,6101.644,0.085684,1782.458
20151231,-0.015999,6004.021,-0.037073,1716.377
20161230,0.129455,6781.275,0.104244,1895.299
20171229,0.209026,8198.736,0.184486,2244.955
20181231,-0.061837,7691.754,-0.081154,2062.767
