Year RF PC C D PN DN P
1889 4.85 0.19 0.73 1.09 5.32 0.21 27.58
1890 5.62 0.19 0.71 1.10 5.27 0.21 27.69
1891 5.46 0.18 0.74 1.19 5.03 0.22 27.22
1892 4.10 0.18 0.76 1.27 5.53 0.23 30.55
1893 6.78 0.18 0.76 1.32 4.78 0.24 26.21
1894 3.04 0.17 0.73 1.16 4.39 0.20 25.52
1895 2.83 0.17 0.80 1.07 4.53 0.18 26.82
1896 5.82 0.16 0.78 1.05 4.23 0.17 26.13
1897 3.50 0.16 0.82 1.03 4.45 0.17 27.02
1898 3.83 0.17 0.83 1.14 5.05 0.19 30.28
1899 4.15 0.17 0.90 1.18 6.29 0.20 36.98
1900 4.38 0.18 0.90 1.46 6.15 0.26 34.51
1901 4.28 0.18 1.00 1.71 7.84 0.30 44.70
1902 4.09 0.18 0.98 1.68 8.42 0.31 45.76
1903 5.44 0.18 1.03 1.86 7.21 0.34 39.40
1904 4.21 0.19 1.02 1.60 7.05 0.30 37.50
1905 4.40 0.19 1.05 1.68 8.99 0.32 47.07
1906 5.68 0.19 1.14 1.92 9.64 0.37 50.13
1907 6.34 0.20 1.15 2.09 7.84 0.42 38.97
1908 4.37 0.20 1.07 1.89 7.78 0.38 38.71
1909 3.98 0.21 1.15 2.01 9.71 0.42 46.46
1910 5.02 0.22 1.15 2.09 9.35 0.45 43.49
1911 4.02 0.21 1.19 2.17 9.24 0.46 43.58
1912 4.75 0.22 1.20 2.07 9.53 0.46 42.95
1913 5.58 0.22 1.22 2.08 8.31 0.46 37.65
1914 4.89 0.22 1.18 1.78 8.08 0.40 36.01
1915 3.50 0.23 1.14 1.77 8.31 0.41 35.80
1916 3.43 0.26 1.21 2.07 9.47 0.54 36.33
1917 4.73 0.33 1.16 2.09 8.30 0.68 25.47
1918 5.86 0.37 1.19 1.50 7.54 0.56 20.25
1919 5.40 0.37 1.20 1.37 8.78 0.51 23.63
1920 5.42 0.41 1.24 1.21 7.98 0.50 19.24
1921 4.83 0.36 1.33 1.26 6.86 0.45 19.15
1922 3.47 0.34 1.33 1.46 8.41 0.50 24.52
1923 3.93 0.35 1.40 1.48 8.57 0.52 24.38
1924 2.77 0.35 1.48 1.55 9.05 0.54 25.99
1925 3.03 0.36 1.39 1.65 11.15 0.59 31.22
1926 3.23 0.36 1.48 1.91 12.59 0.69 34.81
1927 3.10 0.35 1.50 2.20 15.34 0.77 43.79
1928 3.97 0.35 1.52 2.40 19.95 0.85 56.42
1929 4.42 0.35 1.59 2.77 26.02 0.97 74.17
1930 2.23 0.34 1.49 2.86 21.03 0.98 61.38
1931 1.07 0.31 1.43 2.65 13.66 0.82 44.09
1932 0.96 0.28 1.30 1.81 6.93 0.50 25.11
1933 0.30 0.26 1.27 1.66 8.96 0.44 33.85
1934 0.16 0.29 1.30 1.57 9.84 0.45 34.43
1935 0.17 0.29 1.36 1.60 10.60 0.47 36.11
1936 0.18 0.30 1.46 2.43 15.70 0.72 52.92
1937 0.31 0.31 1.51 2.60 15.41 0.80 50.13
1938 -0.02 0.30 1.48 1.69 11.49 0.51 38.05
1939 0.02 0.30 1.54 2.07 12.06 0.62 40.24
1940 0.00 0.30 1.58 2.21 11.02 0.67 36.38
1941 0.06 0.32 1.64 2.19 9.82 0.71 30.31
1942 0.27 0.36 1.67 1.63 8.67 0.59 23.92
1943 0.35 0.40 1.71 1.54 11.50 0.61 29.00
1944 0.33 0.42 1.75 1.53 12.47 0.64 29.76
1945 0.33 0.43 1.83 1.52 15.16 0.66 34.89
1946 0.35 0.46 1.95 1.53 17.08 0.71 36.78
1947 0.50 0.51 1.91 1.64 15.17 0.84 29.59
1948 0.81 0.54 1.91 1.71 15.53 0.93 28.62
1949 1.11 0.54 1.90 2.11 15.23 1.14 28.22
1950 1.20 0.55 1.94 2.69 18.40 1.47 33.64
1951 1.49 0.59 1.96 2.40 22.34 1.41 38.10
1952 1.66 0.60 1.99 2.34 24.50 1.41 40.66
1953 1.82 0.61 2.01 2.36 24.73 1.45 40.27
1954 0.86 0.62 2.02 2.47 29.69 1.54 47.66
1955 1.57 0.63 2.07 2.61 40.49 1.64 64.56
1956 2.46 0.64 2.12 2.72 46.62 1.74 72.87
1957 3.14 0.66 2.13 2.71 44.38 1.79 67.19
1958 1.54 0.68 2.14 2.58 46.24 1.75 68.18
1959 2.95 0.69 2.20 2.66 57.38 1.83 83.26
1960 2.66 0.70 2.22 2.77 55.85 1.95 79.38
1961 2.13 0.71 2.24 2.84 66.27 2.02 93.04
1962 2.73 0.72 2.29 2.95 62.38 2.13 86.39
1963 3.12 0.73 2.33 3.11 69.87 2.28 95.28
1964 3.54 0.74 2.41 3.36 81.37 2.50 109.50
1965 3.93 0.76 2.50 3.59 88.17 2.72 116.33
1966 4.76 0.78 2.58 3.67 85.26 2.87 108.89
1967 4.21 0.80 2.64 3.63 91.93 2.92 114.37
1968 5.21 0.84 2.72 3.67 98.70 3.07 118.03
1969 6.58 0.88 2.78 3.60 87.84 3.16 100.16
1970 6.53 0.92 2.83 3.41 83.22 3.14 90.41
1971 4.39 0.96 2.87 3.19 98.29 3.07 102.20
1972 3.84 1.00 2.98 3.15 109.20 3.15 109.20
1973 6.93 1.06 3.07 3.18 107.40 3.38 101.13
1974 8.00 1.18 3.06 3.04 82.85 3.60 69.96
1975 5.80 1.28 3.10 2.88 86.16 3.68 67.38
1976 5.08 1.34 3.23 3.01 102.00 4.05 75.92
1977 5.12 1.43 3.34 3.28 98.20 4.67 68.90
1978 7.18 1.53 3.45 3.32 96.02 5.07 62.94
1979 1.67 3.52 3.42 103.01 5.70 61.75
