DATE,PCNDA
1929-01-01,33.941
1930-01-01,30.503
1931-01-01,25.798
1932-01-01,20.169
1933-01-01,19.994
1934-01-01,23.919
1935-01-01,26.135
1936-01-01,29.221
1937-01-01,30.98
1938-01-01,29.883
1939-01-01,30.754
1940-01-01,32.345
1941-01-01,37.18
1942-01-01,43.395
1943-01-01,48.861
1944-01-01,52.788
1945-01-01,58.525
1946-01-01,69.131
1947-01-01,77.596
1948-01-01,82.966
1949-01-01,81.457
1950-01-01,84.384
1951-01-01,93.009
1952-01-01,97.542
1953-01-01,100.219
1954-01-01,102.053
1955-01-01,106.653
1956-01-01,111.985
1957-01-01,117.575
1958-01-01,122.038
1959-01-01,127.719
1960-01-01,131.39
1961-01-01,134.602
1962-01-01,139.504
1963-01-01,143.927
1964-01-01,152.696
1965-01-01,163.285
1966-01-01,177.874
1967-01-01,185.009
1968-01-01,199.788
1969-01-01,214.195
1970-01-01,228.806
1971-01-01,239.67
1972-01-01,257.371
1973-01-01,286.108
1974-01-01,321.361
1975-01-01,349.17
1976-01-01,377.68
1977-01-01,408.421
1978-01-01,450.218
1979-01-01,511.598
1980-01-01,573.402
1981-01-01,625.43
1982-01-01,646.258
1983-01-01,678.753
1984-01-01,721.545
1985-01-01,757.244
1986-01-01,774.188
1987-01-01,814.275
1988-01-01,862.256
1989-01-01,929.475
1990-01-01,994.222
1991-01-01,1020.252
1992-01-01,1055.186
1993-01-01,1090.814
1994-01-01,1139.382
1995-01-01,1179.795
1996-01-01,1241.376
1997-01-01,1290.976
1998-01-01,1329.146
1999-01-01,1431.493
2000-01-01,1540.6
2001-01-01,1584.078
2002-01-01,1613.437
2003-01-01,1704.797
2004-01-01,1821.447
2005-01-01,1954.313
2006-01-01,2081.322
2007-01-01,2178.988
2008-01-01,2264.46
2009-01-01,2167.901
2010-01-01,2268.862
2011-01-01,2424.622
2012-01-01,2493.518
2013-01-01,2540.559
2014-01-01,2619.154
2015-01-01,2613.115
2016-01-01,2649.714
2017-01-01,2749.611
2018-01-01,2880.682
