  Average Value Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,3.7782,-0.4119,-1.9434,0.353,2.0534,2.1904,2.4192,0.4926,-1.577,-0.3344,1.9116,2.4336,0.0053,3.4572,-1.2629,1.5893,1.5278,1.1869,0.2727,2.4678,3.4539,6.0902,2.0266,3.1111,0.5623
192608,-2.2074,-8.7275,2.4404,0.6086,8.3968,2.1709,-1.1849,4.0084,0.4643,6.1675,-0.939,2.3886,1.9681,4.445,8.1169,1.3336,3.873,2.0059,2.1706,5.3422,1.0124,4.1903,2.0131,5.4849,7.7576
192609,-6.2113,-0.2989,-6.1982,-1.6368,0.8649,-1.855,-1.2618,1.0829,-3.0405,-0.9401,-0.3898,0.169,-2.1368,2.6865,-3.6215,1.0923,-0.525,-1.7314,1.4646,0.873,-1.2906,3.6538,0.095,-0.7487,-2.4284
192610,-8.6241,-3.7532,-5.6719,5.717,-2.5476,-1.7995,-3.2663,-5.0745,-8.045,-1.3213,-5.1161,-2.5583,0.267,-1.9818,-3.1373,-3.3361,-2.6559,-2.0316,-3.1051,-5.3525,-2.7413,-3.0071,-2.2437,-4.6719,-5.8129
192611,3.4744,6.6476,2.2634,-4.702,0.5362,2.9051,-2.369,3.0078,4.6649,2.7292,1.9107,4.5467,0.0854,5.1183,3.7333,3.4448,2.3887,3.7403,4.932,1.8213,4.2946,2.5326,1.5204,3.6619,2.5636
192612,13.9458,-1.9772,0.1384,3.6213,0.8556,3.3002,4.7507,1.2089,2.6527,5.198,-1.3186,2.3963,-1.2709,2.8578,1.5349,3.4702,2.6069,1.7491,3.0306,0.1578,1.4887,3.4585,1.9777,6.2357,2.4024
192701,0.4474,-8.2999,-4.7873,3.2267,2.0166,2.56,-4.2365,-0.064,-0.6724,11.057,-0.6319,-0.22,-0.6624,2.5541,2.5541,2.3758,1.4701,-0.5123,0.2313,7.3063,-0.7756,0.3281,-0.4374,0.5498,4.2141
192702,2.4884,-0.3049,10.9741,3.7465,10.2076,1.9606,8.6948,7.8557,4.4523,7.5867,6.1214,5.5311,4.6092,6.4766,13.2797,5.2914,4.2655,2.3492,6.7788,11.4693,3.4545,5.0906,3.4173,5.1264,6.2731
192703,6.3998,-1.7464,-7.8293,-2.3738,-3.5735,-1.7896,-0.5186,-2.0169,-0.5881,-0.5481,0.5222,-3.5673,-0.6606,-2.1581,-5.9028,-2.2017,0.1638,-1.3351,-1.3877,3.889,0.5845,1.9822,-0.1206,0.4765,-3.8361
192704,5.8363,7.8111,4.0238,3.58,6.4218,-2.3282,-4.9472,-0.2997,-0.4565,4.4712,-2.2887,1.3977,-1.5558,2.3009,1.7466,-0.2637,1.8622,-1.0146,0.0794,5.753,2.6984,0.8929,-0.2989,-0.4236,-3.5345
192705,9.0109,9.0399,1.0376,16.3651,10.0697,7.6684,2.4486,5.4286,8.7178,13.453,3.0289,6.6737,6.0863,7.1403,12.9147,4.8501,6.1769,3.8321,7.1732,7.7199,5.6929,4.6786,5.5318,5.4185,4.7762
192706,-3.6452,12.1487,-6.8399,-2.1321,-4.4903,3.4836,3.1417,4.566,-0.4032,-6.3846,-0.6943,-3.6414,-1.0473,-0.0329,1.7373,1.0302,-3.2201,-3.5319,-2.2869,1.9683,-0.0607,-3.1371,-2.7494,-3.0453,-5.3613
192707,24.4089,11.6607,4.6663,2.1155,5.4903,5.6673,6.9927,4.0996,7.4765,4.0386,2.7386,5.8245,6.0807,2.6231,8.8516,6.743,6.9138,7.0503,7.5109,1.4324,11.3288,5.7944,6.6541,8.5879,13.4463
192708,11.7732,3.7427,0.796,-0.8622,1.3677,0.9771,-2.6027,-1.773,0.708,5.1792,0.3843,2.0226,2.6592,-2.6535,-5.4249,4.8641,3.5513,0.9982,-2.6278,-6.311,5.5475,1.2272,0.4897,0.8744,3.9099
192709,-4.9477,-6.1671,0.5161,-0.4313,0.6835,2.7947,7.9706,3.3378,1.4024,-1.0265,3.4372,0.1308,1.4113,2.166,9.2306,4.1889,3.1316,4.9157,4.2554,9.8708,6.1583,4.0775,5.5837,3.9928,5.5923
192710,-8.8937,-9.5653,-2.2257,-4.3552,-10.117,2.3056,-1.0019,0.1023,-3.7709,-4.3916,-0.6665,-1.6297,0.1021,-3.983,-10.0271,0.5125,-1.9353,-2.6703,-4.7038,-11.781,-5.0438,-2.2322,-4.1542,-6.4498,-14.5457
192711,6.8966,13.8113,16.53,8.277,12.1263,14.1996,15.1979,8.1785,9.4652,8.4672,6.3767,8.645,8.9856,6.2134,9.8739,7.6668,8.4366,7.6681,7.7686,8.101,7.0786,6.5042,5.9958,7.0421,8.0776
192712,-3.9895,2.5682,3.8034,3.4057,6.9476,4.9187,3.7364,2.3803,3.4131,-0.3356,4.5671,4.6301,4.4977,3.8541,11.3299,0.0688,5.5596,4.3273,1.6662,-2.3196,2.8565,1.3058,1.2653,2.449,10.3769
192801,-8.2364,10.1994,5.0289,1.6917,9.9855,1.3515,3.8725,0.3039,5.278,2.2786,4.8614,2.7913,3.8763,2.2872,-5.8473,1.7794,1.0807,0.2716,2.2149,0.3207,-1.2721,-0.2557,-0.6328,-1.6406,-5.0648
192802,0.6463,-2.9935,5.7752,2.8665,-4.8289,-5.778,-2.0575,-2.5744,-1.9696,-5.6043,-2.5599,-1.9367,-3.0252,-2.3431,-6.2804,-4.7542,-0.8688,-2.0537,-3.0113,-8.524,-0.1501,-0.6324,-0.4929,-2.1203,-1.3892
192803,40.0538,-1.163,2.0746,-2.5679,8.9589,4.7209,11.7987,6.8588,7.8299,14.3977,6.4521,11.7292,10.048,2.789,11.7466,16.3755,9.0919,5.4936,7.7651,7.908,15.7618,5.2287,6.6552,5.6532,16.7279
192804,-12.8663,8.4567,17.1059,2.8104,15.5896,0.3536,23.2107,3.6931,4.5551,10.4199,7.935,4.518,7.4813,4.3032,6.989,5.2402,4.95,2.3826,4.5398,3.7146,1.424,6.804,6.6218,2.77,3.3096
192805,17.7179,0.3515,4.3676,14.6379,5.7369,2.0846,3.8072,5.544,5.8186,3.2917,2.7653,6.8507,1.6906,-1.9153,-3.1876,5.3993,-0.3854,1.1098,1.1637,2.1587,2.0904,2.138,-0.5398,1.2095,-3.8808
192806,-19.2709,-7.4184,-13.2701,-9.2805,-9.4437,-5.7393,-9.2721,-8.613,-7.479,-6.1054,-6.4146,-4.6534,-7.4309,-7.0294,-6.883,-7.1399,-5.5156,-3.4289,-5.7935,-5.8891,-3.0501,-3.6311,-3.5131,-4.8622,-9.112
192807,-2.0217,3.5783,5.3781,2.036,-0.3159,1.0836,-3.766,-1.2704,0.7975,-2.6328,-0.1175,-0.3073,-0.679,0.3334,1.481,0.8287,-0.6082,1.326,1.5005,0.868,1.5815,0.2324,0.1677,0.2981,0.7709
192808,7.5257,0.5454,4.1219,2.1206,3.5138,6.8023,3.8248,3.9212,3.2564,5.0486,5.3797,9.0259,8.4449,4.1657,8.0357,10.1565,8.1583,6.4443,7.8532,7.7317,8.6838,6.5887,5.2701,4.4373,4.9839
192809,3.7129,3.1614,1.9913,-0.2092,13.4251,3.1124,2.6504,5.7104,5.0156,13.0384,4.2094,4.7312,5.4875,6.4449,2.8381,5.872,6.4645,2.9592,3.0408,5.9184,3.3442,1.0239,2.2561,0.5861,6.959
192810,-3.9425,-3.8706,4.3844,3.7426,6.4494,4.9618,3.0676,2.1927,1.3937,0.6282,5.5807,4.9745,2.62,0.2244,-1.7486,0.7367,-1.022,-1.7468,4.7413,-3.6579,1.5307,2.9072,1.3468,-0.3684,4.7495
192811,3.8603,30.1944,7.7079,16.7282,12.7121,6.6986,7.8768,10.5233,13.4891,8.9905,8.7142,11.3499,18.7077,13.573,15.962,11.1748,11.8047,9.7497,7.7142,14.2633,11.5523,10.447,16.0161,9.1268,17.8916
192812,-5.4317,-7.6129,-5.4498,-2.4336,-1.7584,-2.0855,-2.6779,-0.4664,-4.1034,0.6437,3.7311,-0.113,1.0567,1.3172,-0.0004,3.1308,3.7035,0.3174,1.8959,-3.3414,0.5488,1.1329,-1.039,1.2815,0.3681
192901,2.9249,8.2497,-4.6113,5.9949,5.085,3.051,1.4272,1.7342,-0.2831,0.4178,1.4615,4.7587,-4.7563,3.8886,2,4.6353,4.8862,3.7195,1.2154,1.1437,6.5712,10.2483,2.3079,4.9558,0.0249
192902,0.9617,-7.9993,-3.1236,0.0022,-1.335,-3.2503,1.8518,3.8102,0.6559,4.7822,1.2593,0.1955,0.591,3.9779,0.3155,-1.331,1.4211,3.5099,0.3941,1.9268,-0.7916,1.0302,0.4413,0.7335,3.4624
192903,-14.5269,-0.6033,-2.937,-4.802,-2.2935,-4.076,-5.8595,-5.3253,-2.357,-4.0309,-7.0473,-4.9069,-2.7999,-3.2893,-5.5557,-4.4913,-5.1368,0.2326,-1.23,-1.1298,-0.1714,0.784,3.5141,0.0416,0.7663
192904,-4.4228,-8.8377,-0.2482,7.4085,-1.9532,0.0014,0.8046,4.5814,-2.2911,2.7034,1.0786,0.6879,3.7299,-0.2621,1.4354,3.0552,0.2672,-0.4971,1.7735,4.5725,2.0952,2.86,0.8808,0.807,2.8638
192905,-21.8773,-6.4153,-17.4473,-15.5732,-12.9566,-11.2609,-11.7596,-7.9703,-13.3411,-14.2671,-6.2961,-10.504,-8.0171,-9.368,-8.8632,-7.3537,-10.5007,-3.2425,-5.0181,0.938,-5.633,-5.9171,-3.0771,-2.6958,-1.6714
192906,15.9956,4.0699,4.0079,6.8584,6.7252,3.6693,6.7134,11.3249,4.2488,6.3666,6.979,10.8677,10.0664,7.928,8.8555,13.2732,10.745,11.0638,9.1239,3.5929,11.9075,13.6428,7.9115,7.7838,4.7418
192907,1.239,-5.2223,-3.5738,-8.9964,2.3089,-2.2962,2.4271,-1.5928,0.3667,6.216,0.4357,3.7091,1.3018,-0.3775,10.7093,1.8868,3.1061,1.7687,2.4422,4.4353,2.9497,6.5495,5.9956,8.4802,5.1378
192908,-4.1263,-4.2272,-9.37,4.6324,-4.6987,-1.2892,0.4637,0.334,0.8486,-0.5221,1.7465,0.6631,5.722,1.9039,-0.2876,3.3402,0.2874,3.8821,5.3704,7.7631,6.7578,13.0514,13.3057,13.4117,6.8157
192909,-10.3134,-2.4655,-8.8359,-5.8301,-9.8426,-7.5726,-2.8525,-4.7079,-6.0842,-2.095,-9.261,0.0135,-2.2233,-3.5123,-0.6119,-0.8643,1.2457,-4.2763,-4.0748,-7.2368,-5.6283,-3.812,-4.0339,-7.1977,-6.8662
192910,-26.2937,-23.6557,-18.5978,-23.7403,-16.9079,-19.6051,-19.093,-22.7131,-16.0753,-17.429,-28.2612,-20.3218,-12.6576,-15.3248,-19.0514,-29.2963,-23.1909,-16.3109,-13.4348,-17.0225,-24.6689,-20.3578,-13.1589,-10.5988,-7.4875
192911,-1.3563,-19.1373,-4.5325,-15.8807,-15.5459,-19.3908,-14.8777,-9.7865,-10.2741,-14.0298,-14.0294,-12.9066,-7.7886,-8.6055,-12.2012,-14.9201,-14.8344,-7.4549,-8.7952,-11.3882,-13.1881,-16.8699,-10.0958,-9.6514,-6.3322
192912,-0.4171,-12.1883,-8.5522,-7.9945,-3.1236,-4.7068,-6.2239,-7.3655,0.5299,-4.5194,-2.0972,-0.9108,2.5184,-2.5041,5.3308,2.3324,-3.2037,-2.6856,0.6247,10.9509,3.792,3.5643,0.4456,0.6386,0.8787
193001,-2.7769,11.075,22.7188,11.8021,10.9299,7.8448,12.0906,8.9512,4.7055,14.5598,9.6247,10.6585,4.2805,6.3256,4.1286,8.452,4.6533,5.5572,3.4816,3.9395,6.8371,7.6055,0.6769,4.9891,-0.4104
193002,16.9723,12.9767,-1.7111,-1.4082,2.756,-1.9117,2.3173,4.1591,1.4123,5.239,1.7809,3.1474,2.0982,3.604,2.8365,2.6019,8.5219,-1.3552,0.2799,1.0041,2.9883,4.548,1.1713,1.4888,4.9676
193003,22.8187,-1.7515,6.8902,16.7068,11.7961,6.2672,4.6523,14.085,8.364,5.5369,9.5191,8.4823,7.9646,8.1868,14.1204,8.5857,5.6644,7.3459,12.1547,10.9418,6.5076,6.1455,11.4727,4.4912,2.1312
193004,-6.9121,-3.8152,-6.9974,-7.7391,-5.3932,-8.8133,-4.798,-3.1293,-3.8649,-5.1737,-3.8056,-4.3531,-4.8435,-3.233,-2.4801,-2.5085,-6.5872,-5.3348,-5.1203,-4.4542,-0.8256,-3.3276,0.0444,-6.1794,-7.3356
193005,-2.4085,-13.7162,3.6605,-5.1405,-6.2496,-5.8346,-1.5137,-5.2674,-4.3309,-2.5617,-3.6907,-0.5319,-3.9294,-2.4145,0.3779,-2.7179,-3.6306,-3.4341,-0.1329,-4.8121,0.7935,0.0636,-2.0419,-1.5224,-0.7952
193006,-13.4475,-19.5772,-16.4967,-15.2347,-20.9092,-23.7959,-17.5658,-16.7456,-17.3954,-18.7022,-14.4283,-17.9878,-14.533,-13.8237,-17.5016,-21.489,-18.5937,-15.6324,-14.1465,-18.5017,-17.7473,-16.7821,-13.4031,-9.5365,-9.6586
193007,2.6405,4.0962,12.9011,2.8435,1.0995,7.8436,6.3313,4.9914,2.8862,0.8179,6.2628,5.743,3.3278,4.8204,2.86,4.8326,4.7672,3.8751,1.9223,1.8338,5.2032,3.8587,3.4147,2.4026,10.2405
193008,-9.329,-8.5398,-3.2926,-5.968,-3.5783,-3.7641,0.3784,-0.8875,-2.6803,-0.9432,-2.6558,-1.2847,-1.8241,-1.1936,-1.1033,1.7901,-0.3865,-1.5971,-2.6999,3.1467,1.351,-0.4376,0.4483,-1.5645,-24.0437
193009,-30.8037,-33.7274,-29.979,-19.3383,-19.5865,-14.4077,-14.2594,-14.4433,-15.6804,-19.7007,-12.6977,-14.6166,-12.0333,-15.533,-21.7125,-12.6098,-14.7606,-12.7992,-12.8347,-17.6075,-12.6289,-11.6709,-9.3752,-14.6559,-28.0576
193010,-31.8635,-9.2415,-6.8098,-14.992,-9.8368,-6.125,-11.4794,-10.3726,-9.7261,-8.3386,-13.8209,-8.9189,-5.9314,-11.4367,-18.7547,-11.1958,-9.4778,-8.0558,-11.3286,-12.7708,-10.0434,-6.8773,-6.8661,-8.786,-20
193011,22.0966,-15.4883,-4.4972,-1.2823,-3.8453,-6.5242,1.9767,-3.7353,-2.5188,-4.3808,-0.9718,-0.4854,-2.4579,2.0941,-5.5072,-0.8203,0.6772,-2.2174,-4.7826,-2.5984,-2.4435,-1.4559,-4.9502,-7.3212,-12.5
193012,-20.1288,-25.1568,-24.3865,-14.2104,-17.0565,-14.2965,-11.39,-12.9925,-16.5179,-18.6109,-5.0958,-9.0286,-7.6491,-11.5397,-17.5956,-7.4793,-9.5576,-11.171,-10.578,-12.4449,-5.4332,-8.1122,-7.2986,-10.8463,-30
193101,-26.5566,22.1097,15.7748,16.8375,19.7393,13.232,11.2384,12.9729,14.4569,15.7537,11.1029,8.7442,9.5172,8.1815,18.8467,7.2542,7.2408,4.6468,8.2604,11.4429,4.3612,4.628,7.6666,17.0431,34.6939
193102,21.4578,20.6779,48.6609,23.9869,23.8714,9.7005,11.054,10.7717,11.5623,15.433,15.3071,14.5469,12.7887,10.7057,12.5929,13.5011,11.9562,8.1787,5.654,17.826,13.8851,9.0614,5.0416,7.1083,42.4242
193103,-8.788,0.7521,-1.78,-4.3242,-8.726,-1.5484,-8.4131,4.2981,-5.6663,1.5067,-0.6672,-7.3831,-4.0039,-5.1014,-12.6798,-6.2395,-6.4748,-8.404,-9.4466,-9.0077,-3.7301,-8.3197,-9.6583,-11.0548,-19.6809
193104,-17.516,-25.6785,-23.8191,-14.8757,-16.0562,-16.6512,-17.3893,-11.8188,-14.5941,-20.8514,-11.8992,-13.9425,-12.978,-18.0338,-17.6793,-13.4246,-11.0031,-15.2323,-12.8379,-5.5499,-9.0074,-8.2543,-10.5875,-10.3096,-23.8411
