date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
1927,57.86,25.65,42.67,20.61,20.33,25.87,27.42,27.77,38.24,48.27
1928,48.57,53.03,39.37,37.89,46.45,25.8,14.41,34.09,37.52,25.72
1929,-26.86,-8.8,-13.38,-6.45,0.1,-2,-0.28,-8.17,-8.04,-26.61
1930,-29.12,-20.56,-25.99,-28.58,-25.16,-35.27,-38.51,-40.73,-50.49,-56.32
1931,-37.53,-33.93,-35.73,-54.85,-60.94,-63.33,-62.86,-55.24,-52.32,-55.62
1932,-14.33,-4.57,10.87,-20.8,-10.81,-20.07,-7.28,-8.52,22.2,3.45
1933,45.78,28.58,63.46,98.39,82.78,87.94,94.65,120.98,123.47,151.89
1934,13.03,11.78,3.06,5.37,-7.6,3.94,-14.42,-7.92,-26.3,-12.89
1935,36.21,55.87,40.13,49.8,35.39,65.34,33.93,52.1,52.49,34.52
1936,24.06,29.52,20.82,27.43,29.08,54.11,59.28,58.73,39.12,49.75
1937,-32.54,-35.95,-38.13,-37.27,-36.45,-22.39,-32.99,-41.69,-35.69,-57.27
1938,30.48,43.33,30.87,24.79,29.12,10.59,25.58,28.29,28.8,23.85
1939,6.62,2.87,13.44,-6.72,1.61,-1,-4.68,-10.17,-10.22,-20.98
1940,-9.28,-10.07,-11.09,-1.68,-5.25,-0.65,-4.4,-0.99,0.44,-26.21
1941,-12.48,-11.74,-17.76,-6.68,-3.05,-5.23,-4.81,-5.72,1.1,0.82
1942,14.35,21.75,9.11,17.27,16.87,12.82,20.95,31.86,27.26,51.46
1943,14.37,24.9,27.83,29.32,41.78,33.92,38.45,40.91,63.91,61.72
1944,15.91,19.63,14.91,20.6,23.93,24.76,30.58,29.01,49.93,69.1
1945,30.8,40.53,32.08,36.53,41.2,39.41,48.86,48.34,49.12,66.64
1946,-9.11,-10.07,-9.98,-3.84,-5.01,-2.33,0.14,-0.68,-5.37,-18.44
1947,-0.5,7.05,1.21,5.21,2.52,-2.22,7.62,10.86,10.43,1.94
1948,2.83,1.95,4.69,-0.65,5.22,0.65,-8.56,0.85,5.5,2.38
1949,27.38,24.18,16.1,12.07,16.46,22.78,17.85,20.64,14.54,20.15
1950,23.83,26.94,18.98,22.68,34,37.85,40.1,50.45,50.88,63.82
1951,21.16,20.11,18.86,20.22,30.72,24.92,20.58,14.8,16.77,7.96
1952,14.57,12.39,10.72,16.88,11.43,11.99,11,13.96,7.85,32.16
1953,3.82,1.56,0.32,-0.02,1.53,-1.46,-6.77,-1.67,-7.13,-13.74
1954,51.85,38.28,45.67,41.94,60.47,58.78,57.14,82.24,64.92,70.08
1955,32.49,19.19,22.06,25.98,23.1,21.67,19.05,35.89,24.68,18.59
1956,3.72,9.61,9.9,14.04,23.75,7.26,11.71,6.98,4.73,-0.82
1957,-10.39,-5.88,-9.18,-10.69,-8.99,-4.02,-20.71,-20.57,-16.1,-25.84
1958,45.11,37.91,41.52,40.74,59.37,37.14,38.45,67.23,76.06,77.98
1959,23.02,6.73,3.52,13.07,10.94,10.83,5.63,19.6,14.35,20.37
1960,-3.8,3.59,-4.2,3.21,17.51,1.1,-2,-5.79,-5.1,-17.32
1961,22.87,25.4,30.71,28.65,25.33,29.76,27.22,30.22,24.56,31.31
1962,-16.97,-7.62,-5.07,-9.73,-9.98,1.58,-12.56,-5.68,-3.62,-4.22
1963,19.1,25.51,21.84,12.81,16.12,22.21,24.67,31.11,28.08,35.99
1964,14.34,19.99,9.35,18.11,22.88,17.52,22.58,19.78,19.62,22.8
1965,19.89,10.61,8.29,1.08,12.24,21.85,21.21,22.73,23.04,36.74
1966,-8.61,-14.18,-11.27,-9.5,-9.59,2.58,-1.49,-6.17,-9.54,-13.13
1967,39.86,22.72,21.72,23.15,12.33,17.3,33.24,41.33,42.43,36.82
1968,1.76,10.6,8.5,12.41,13.2,23.73,23.53,31.01,38.49,28.56
1969,7.22,-5.89,-9.36,-19.69,-11.88,-14.52,-24.08,-15.75,-17.6,-25.25
1970,-13.11,-5.83,4.32,-3.5,5.65,2.44,14.08,12.45,11.05,6.86
1971,25.37,25.77,22.73,11.02,9.9,3.82,4.91,8.9,18.43,17.91
1972,26.71,15.36,10.87,9.19,5.11,13.34,13.94,19.81,10.92,10.05
1973,-22.43,-22.77,-25.31,-13.23,-18.83,-6.86,-10.05,-10.22,-15.05,-3.74
1974,-32.98,-26.22,-20.27,-28.47,-21.61,-21.32,-21.97,-21,-25.75,-24.09
1975,31.16,36.21,44.82,56.3,31.52,42.3,49.83,63.37,48.61,47.67
1976,10.99,21.03,32.81,37.68,44.96,41.34,43.49,43.23,51.98,63.94
1977,-9.1,-6.78,-5.56,-3.01,2.28,2.87,2.8,6.83,11.86,7.59
1978,11.32,1.84,7.86,4.5,13.65,9.28,6.33,7.06,11.79,12.04
1979,10.97,23.99,30.96,34.72,22.84,17.44,31.05,24.06,26.81,32.3
1980,41.99,35.76,33.79,46.13,43.53,34.26,19.64,17.51,18.76,15.31
1981,-14.06,-1.6,-7.31,-4.04,-16.08,-1.11,6.68,10.15,18.97,11.35
1982,13.04,28.47,22.07,13.37,18.67,22.65,25.83,28.65,26.04,41.51
1983,13.95,21.44,12.77,28.15,26.02,28.12,25.87,29.05,25.79,43.26
1984,-8.11,1.07,2.19,8.24,-0.94,9.54,3.57,10.09,16.51,22.43
1985,28.69,34.15,35.34,35.15,42.34,28.89,30.35,30.03,34.75,29.23
1986,7.77,16.47,15.73,22.76,12.94,17.27,21.97,14.95,25.73,19.11
1987,0.84,9.48,3.94,-0.43,-0.19,-0.1,8.8,-4.78,-3.36,1.82
1988,9.48,12.57,19.28,17.56,18.47,17.98,22.66,19.67,27.59,32.72
1989,35.81,31.17,35.19,13.23,26.69,29.65,32.28,28.31,28.37,27.96
1990,6.37,-3.02,-8.38,0.83,-1.79,-12.16,-18.29,-12.18,-9.19,-28.92
1991,55.83,35.43,26.08,22.53,21.42,23,42.42,28.29,33.02,27.48
1992,-1,13.48,17.92,13.92,11.57,13.25,4.49,21.17,26.68,41.02
1993,-5.59,4.91,13.56,17.06,14.83,20.18,18.6,14.65,23.82,37.87
1994,1.62,3.5,-2.4,0.53,-0.92,7.73,-1.48,-6.22,-4.78,-4.74
1995,36.34,40.93,29.22,39.28,35.21,34.6,34.14,43.66,39.13,41.06
1996,20.75,21.9,22.51,19.85,19.89,30.66,23.46,22.82,20.91,19.52
1997,31.25,28.64,30.65,29.44,32.84,38.86,30.92,41.22,36.01,31.06
1998,41.92,40.93,24.45,1.23,2.95,8.69,9.18,6.8,16.33,28.15
1999,31.07,20.32,21.66,10.89,5.49,6.12,-1.43,0.52,4.89,9.16
