date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
1927,35.17,31.62,37.96,37.7,17.96,45.58,36.76,30.51,32.05,34.19
1928,61.61,44.54,38.16,33.67,39.86,47.4,42.67,39.66,38.77,37.62
1929,-46.65,-47.6,-47.09,-32.24,-33.07,-28.44,-24.67,-23.47,-7.46,-9.21
1930,-50.22,-49.89,-42.26,-40.92,-31.96,-34.2,-39.79,-34.44,-37.77,-24.02
1931,-43.79,-55.09,-44.59,-45.26,-48.83,-48.42,-43.58,-46.71,-51.18,-42.18
1932,27.97,-2.82,-5.33,-0.79,-11.07,-5.6,-8.18,3.86,-2.55,-10.52
1933,147.77,182.08,136.64,121.99,108.91,97.92,109.36,98.58,71.5,45.85
1934,20.69,33.39,20.55,12.44,14.81,17.47,9.16,11.45,2.43,1.38
1935,57.22,76.18,67.26,68.34,56.32,62.06,38.54,39.24,50.63,43.38
1936,91.37,69.75,44.45,61.22,55,54.36,39.35,31.67,31.76,30.54
1937,-53.53,-53.2,-53.59,-50.12,-46.53,-46.2,-44.77,-37.96,-37.52,-31.6
1938,1.24,22.39,38.54,38,40.49,43.22,34.48,39.22,33.66,25.36
1939,-4.24,-4.27,-6.8,0.51,6.06,2.51,-4.76,-2.75,-6.33,5.43
1940,-32.12,-7.54,-2.5,-5.08,-3.24,1.51,-6.94,-7.47,-9.15,-7.07
1941,-6.09,-13.92,-5.4,-13.44,-13.14,-7.71,-7.93,-6.47,-8.7,-11.25
1942,62.57,31.65,30.49,29.79,23.77,21.4,21.7,19.83,23.63,13.9
1943,141.51,98.18,73.56,78.4,46.3,50.37,39.15,31.47,35.47,22.96
1944,70.55,57.65,44.37,34.53,41.38,35.73,34.88,27.75,25.56,16.83
1945,95.26,72.88,69.65,69.31,55.04,55.46,67.5,53.34,45.94,30.23
1946,-15.35,-11.91,-15.31,-6.18,-8,-8.56,-7.13,-5.84,-8.32,-5.16
1947,-2.1,-1.16,0.53,-1.23,-3.07,3.05,1.7,-1.86,0.69,5.59
1948,-1.79,-8.34,-4.84,-2.85,-6.56,-1.89,-1.62,2.19,1.6,3.1
1949,27.59,17.72,20.73,19.16,26.96,18.8,22.09,24.37,24.25,18.68
1950,52.55,43.46,39.3,44.7,33.19,37.37,32.43,28.17,29.83,29.16
1951,3.55,7.88,13.58,14.67,18.14,10.74,18.16,20.98,21.25,21.93
1952,1.19,6.94,10.37,8.93,11.06,10.62,12.29,12.08,13.07,14.42
1953,-5.85,-5.33,-6.5,-2.32,-1.21,-2.29,-0.64,-0.17,2.01,1.09
1954,64.81,62.56,57.7,58.37,59.89,57.74,49.91,57,50.29,48.61
1955,27.4,23.43,20.63,14.4,22.36,22.17,20.07,17.58,19.27,28.71
1956,-0.88,7.52,9.16,8.55,5.98,10.62,9.09,7.06,11.12,8.12
1957,-15.38,-13.43,-14.79,-15.27,-18.05,-12.59,-11.78,-13.05,-9.53,-9.22
1958,68.96,64.08,66.01,68.08,61.42,58.11,56.54,53.67,48.95,40.84
1959,12.36,26.63,17.05,21.77,17.57,21.95,16.45,13.74,9.16,12.47
1960,-3.31,-4.97,-2.11,-2.2,-2.69,-0.8,-0.97,5.15,7.29,-0.18
1961,28.87,30.28,34.54,30.24,27.03,29.56,30.48,29.06,25.62,26.52
1962,-10.97,-12.18,-11.98,-15.07,-16.41,-13.62,-11.43,-13.24,-8.02,-8.93
1963,19.45,17.92,22.55,15.88,21.31,13.76,16.03,17.73,21.3,22.41
1964,23.26,14.58,19.5,14.85,16.6,18.25,17.99,18.98,13.73,15.98
1965,45.62,31.21,30.99,42.61,38.58,31.55,24.62,25.21,19.96,8.81
1966,-9.61,-3.83,-4.56,-8.46,-5.22,-5.22,-7.65,-3.14,-4.34,-10.97
1967,116.84,90.14,76.05,73.24,51.6,52.75,44.13,28.26,21.59,21.8
1968,60.02,39.27,39.05,27.12,34.59,21.8,20,19.44,17.68,7.28
1969,-33.1,-29.23,-22.44,-21.74,-18.56,-20.4,-16.61,-12.55,-12.35,-5.71
1970,-18.87,-16.58,-8.86,-11.15,-7.34,-6.03,-2.86,2.62,4.01,2.28
1971,16.67,19.64,18.01,26.86,21.56,20.7,23.61,21.03,13.49,14.63
1972,0.37,-0.11,3.63,8.37,8.78,10.71,10.38,7.25,11.08,22.03
1973,-38.67,-36.97,-33.48,-35.59,-31.95,-29.03,-28.14,-22.07,-20.22,-13.32
1974,-26.8,-28.39,-28.59,-26.59,-29.14,-28.09,-30.95,-27.15,-25.57,-27.84
1975,59.27,60.53,54.06,49.85,47.93,47.39,54.94,46.55,39.34,33.04
1976,48.32,49.8,45.77,46.49,48.48,40.91,38.32,34.51,29.2,20.55
1977,30.8,22.78,18.55,15.92,16.09,10.01,3.93,0.77,-4.23,-8.79
1978,28.96,18.89,18.39,19.3,15.56,11.69,9.14,7.53,4.78,6.32
1979,44.26,39.78,39.69,42.28,43.86,31.7,36.19,29.71,30.15,14.55
1980,41.78,38.19,38.09,38.69,31.18,33.62,36.48,28.96,33.23,33.14
1981,-4.08,1.48,2.57,5.92,5.25,2.46,2.47,3.08,-1.16,-7.57
1982,27.38,28.59,27.2,27.46,29.47,30.8,24.02,25.69,16.86,19.07
1983,36.6,33.58,32.43,30.11,26.7,27.75,25.01,21.48,20.08,20.32
1984,-14.71,-5.21,-3.36,-1.79,2.41,-1.73,-2.74,2.15,6.81,8.77
1985,25.33,34.63,34.63,36.73,34.63,29.33,32.13,32.42,34.26,32.57
1986,1.91,5.62,5.51,10.33,10.77,16.69,18.03,16.34,17.91,18.42
1987,-14.14,-14.22,-7.05,-7.68,-3.76,-1.41,3.71,-0.51,1.82,5.16
1988,17.11,21.01,26.09,24.02,21.66,20.45,20.66,19.96,16.56,16.49
1989,7,11.91,20.22,17.31,22.35,22.25,24.79,28.49,30.32,32.91
1990,-27.79,-26.89,-17.65,-20.42,-16.97,-12.43,-8.35,-12.21,-7.84,-0.74
1991,46.49,50.45,44.94,46.19,51.72,44.29,39.25,40.8,37.85,29.88
1992,25.18,17.91,18.12,17.72,20.12,22.02,10.74,16.85,12.82,5.28
1993,25.74,14.06,18.93,16.4,21.24,15.26,14.28,17.25,12.24,7.13
1994,-5.22,-5.94,-2.42,-2.36,0,0.73,-2.38,-2.91,-1.28,1.93
1995,32.45,35.42,31.04,28.92,24.52,35.52,38.57,28.55,37.22,39.72
1996,14.59,18.32,17.3,16.82,15.53,12.64,21.27,16.85,18.38,24.52
1997,22.02,25.32,19.23,24.34,26.72,23.96,27.63,22.42,32.6,35.02
1998,-13.58,-1.32,-3.15,2.3,1.21,0.11,4.66,6.23,15.03,36.17
1999,38.46,42.11,25.49,21.92,34.69,15.93,32.3,34.25,17.35,21.74
2000,-9.7,-4,-4.08,-8.15,-9,-2.94,0.65,6.71,5.81,-12.43
2001,32.55,26.8,16.35,8.87,1.78,-1.1,0.61,-2.47,-6.46,-14.74
2002,-2.99,-18.15,-20.2,-21.16,-19.2,-17.24,-16.75,-18.26,-17.11,-23.33
2003,91.56,62.5,51.34,48.19,45.94,42.57,45.4,40.35,34.74,25.62
2004,17.08,11.96,23.25,20.28,18.16,17.04,21.55,15.64,21.95,7.71
2005,3.7,2.86,7.97,7.94,4.98,11.02,14.84,10.45,13.42,3.22
2006,18.54,16.72,21.09,14.99,15.84,14.18,12.33,14.13,13.98,15.82
2007,-8.71,-7.51,-3.16,-1.9,8.21,7.13,3.66,4.36,9.94,6.48
2008,-43.7,-36.93,-34.42,-29.02,-36.07,-28.18,-41.09,-39.62,-42.07,-35.51
2009,45.23,30.48,35.47,30.46,37.9,34.72,41.4,39.53,37.35,24.25
2010,27.54,31.45,28.41,26.45,30.29,29.12,24.54,29.44,21.56,12.34
2011,-14.71,-9.69,-5.91,-1.75,-4.33,2.35,-1.28,-1.14,-2.1,2.8
2012,18.67,15.4,18.97,14.43,20.07,15.95,15.5,16.93,15.66,16.19
2013,49.7,45.68,47.06,40.29,39.92,44.26,43.6,36.72,37.13,32.53
2014,1.21,1,6.12,5.26,4.86,7.34,5.44,14.73,14.9,12.51
2015,-9.23,-7.85,-2.04,-6.15,-6.05,-3.4,-3.14,0.25,-3.7,1.95
2016,17.39,26.94,25.25,18.76,22.02,18.15,16.85,14.79,17.02,10.37
2017,15.55,12.98,16.73,16.11,14.35,16.77,21.53,23.71,19.92,23.47
2018,-16.2,-12.01,-10.54,-8.65,-11.35,-12.7,-10.81,-7.3,-9.93,-2.79
