date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
192607,-0.12,0.52,-0.05,1.31,1.21,2.04,1.58,1.29,3.53,3.71
192608,1.33,2.55,4,3.2,2.81,4.45,1.61,1.49,0.61,3.79
192609,0.59,-2,-2.01,-0.46,-0.06,0.14,-2.02,0.74,-0.77,1.25
192610,-4.33,-2.01,-3.25,-4.35,-2.93,-2.48,-3.6,-3.26,-3.36,-2.56
192611,-3.3,-0.23,0.08,4.74,3.64,3.44,3.63,3.05,3.86,2.4
192612,-2.49,3.93,5.6,2.4,1.21,1.42,1.41,3.37,3.11,2.97
192701,1.67,1.49,0.95,2.85,-0.53,2.35,1.67,0.8,0.43,-0.27
192702,6.44,7.98,5.35,6.16,5.56,7.99,7.18,3.98,4.9,4.03
192703,-5.46,-3.05,-0.57,-0.88,-3.04,-3.17,0.02,-1.82,-0.69,1.78
192704,5.23,5.03,2.71,0.42,0.69,0.31,0.08,0.02,-0.18,1.24
192705,9.94,9.9,8.97,8.67,5.51,8.72,6.45,5.93,6.28,5.43
192706,-3.62,-3.21,-1.48,-1.58,-2.24,0.37,-1.59,-2.4,-3.18,-1.89
192707,6.18,4.82,4.57,5.84,3.27,5.8,5.69,6.3,6.34,8.5
192708,-1.1,0,-0.43,0.17,-1.07,0.43,0.69,2.23,1.6,2.89
192709,-0.25,-0.23,1.7,3.12,1.63,4.72,5.5,4.37,4.58,5.41
192710,-4.5,-8.07,-2.61,-1.06,-2.59,-2.68,-2.8,-3.09,-4.48,-4.18
192711,14.62,10.65,13.58,6.34,7.37,8.16,8.08,7.85,7.53,6.27
192712,3.34,4.24,0.99,2.99,2.73,6.11,1.45,3.48,5.87,1.27
192801,10.77,5.66,3.99,2.03,3.2,1.12,1.83,0.81,0.62,-1.49
192802,-1.24,-2.01,-3.09,-3.5,-3.91,-1.9,-2.42,-3.07,-1.85,-0.65
192803,4.5,4.01,9.62,6.62,8.6,8.02,5.59,11.89,7.27,9.67
192804,23.84,8.24,10.59,8.18,7.69,4.82,7.35,3.99,4.48,3.64
192805,8.92,7.66,5.82,1.95,1.92,2.23,1.37,2.01,1.88,1.25
192806,-11.66,-10.92,-7.5,-6.31,-7.48,-5.86,-6.36,-5.84,-4.38,-3.58
192807,-1.76,1.73,-1.66,-0.77,1.04,1.39,1.09,0.79,1.77,0.79
192808,1.56,3.98,2.72,6.01,5.09,7.35,7.84,8.35,6.49,6.98
192809,7.98,4.13,4.43,6.6,3.93,6.54,5.23,5.4,3.79,2.31
192810,3.09,3.53,1.51,2.67,3.44,1.43,0.81,-0.46,2.44,1.73
192811,11.7,16.11,9.36,7.75,11.44,15.21,12.17,9.97,10.16,12.97
192812,-4.38,-2.34,-1.34,-0.68,0.52,0.63,2.88,1.5,1.4,-0.04
192901,4.85,3.79,-0.15,3.6,1.22,2.1,4.12,4.37,5.74,5.62
192902,-0.04,-0.84,1.76,1.71,0.06,1.6,2.77,-0.1,-0.48,-0.13
192903,-1.85,-4.08,-3.51,-5.89,-3.69,-4.74,-4.31,-2.71,-0.46,0.95
192904,3.73,-0.53,-1.5,3.26,1.9,1.13,3.34,0.46,1.62,1.89
192905,-15.79,-12.81,-15.33,-9.74,-9.01,-9.11,-8.04,-5.5,-4.01,-5.04
192906,8.08,6.28,6.66,6.94,9.12,8.93,12.03,10.06,10.87,10.37
192907,-1.1,-1.57,0.89,2.06,2.19,2.06,2.74,2.41,4.88,5.57
192908,-3.12,-2.87,1.16,1.22,0.22,2.79,3.99,4.14,8.03,10.44
192909,-5.01,-7.05,-4.82,-4.35,-2.82,-3.09,-4.38,-2.63,-3.39,-5.76
192910,-22.37,-19.95,-22.98,-18.02,-21.7,-18.69,-22.4,-20.9,-19.01,-18.89
192911,-12.81,-14.75,-13.49,-12.69,-12.58,-11.93,-12.59,-11.15,-11.07,-12.41
192912,-10.82,-5.02,-6.27,-3.06,-0.44,-0.66,-0.27,-1.09,3.61,2.29
193001,15.45,12.35,13.02,9.67,6.55,8.72,7.35,5.19,4.34,4.99
193002,4.52,2.3,2.5,3.18,2.04,3.29,0.52,2.79,3,2.9
193003,11.75,12.61,11.85,7.41,12.63,6.75,8.72,7.9,5.66,7.8
193004,-9.11,-6.4,-1.35,-6.5,-2.15,-5.26,-5.12,-4.62,-4.73,-0.84
193005,-8.01,-4.77,-5.44,-2.61,-2.04,-2.4,-4.33,-2.19,-1.08,-0.76
193006,-21.27,-18.55,-19.64,-18.23,-16.65,-15.85,-17.15,-17.39,-15.89,-14.9
193007,3.83,2.41,2.63,4.72,4.84,4.74,3.99,3.78,4.93,4.24
193008,-5.2,-3.8,-2.73,-1.31,-3.27,-0.71,-1.36,0.25,-0.69,0.93
193009,-17.07,-22.85,-18.09,-14.58,-14.33,-14.62,-16.35,-12.51,-13.82,-11.65
193010,-9.01,-11.64,-10.68,-10.95,-9.28,-10.71,-8.74,-10.14,-11.39,-8.09
193011,-5.47,-3.5,-2.89,-2.5,-1.22,-1.29,-2.72,-1.82,-2.9,-2.86
193012,-20.13,-17.74,-16.18,-14.82,-10.67,-9.85,-10.42,-9.22,-10.54,-6.13
193101,19.49,17.29,16.86,12.83,9.66,10.57,6.7,7.13,9.68,5.14
193102,26.04,25.2,14.31,11.3,13.32,13.84,13.06,9.27,12.17,10.45
193103,-2.16,-9.14,-4.14,-3.61,-5.4,-5.39,-7.99,-7.19,-8.49,-5.65
193104,-17.44,-17.53,-16.53,-16.53,-13.91,-14.47,-13.7,-11.81,-12.44,-8.47
193105,-12.14,-15.2,-10.37,-8.99,-11.59,-13.76,-14.63,-16.07,-15.99,-12.41
193106,22.19,14.2,16.14,8.59,12.73,13.29,15.75,17.54,16.16,13.43
193107,-2.7,-8.05,-5.56,-6.78,-8.61,-8.33,-6.49,-6.9,-7.54,-6.27
193108,-8.14,-4.72,-3.5,-0.35,-3.06,-1.34,-0.81,1.81,-0.54,0.4
193109,-29.9,-33.28,-31.12,-31.5,-30.45,-32.45,-27.34,-31.06,-32.36,-28
193110,0.88,6.66,5.86,10.5,7.74,10.78,7.63,9.81,8.43,7.66
193111,-10.66,-11.58,-7.28,-9.62,-5.45,-9.06,-8.56,-8.29,-10.85,-8.79
193112,-23.77,-23.54,-19.16,-13.73,-19.16,-15.79,-10.14,-14.33,-15.6,-12.78
193201,14.08,8.53,4.97,6.31,4.75,1.87,-1.93,-1.29,2.92,-2.41
193202,-0.97,3.92,4.03,-4.06,3.18,0.51,2.2,3.3,3.52,6.71
193203,-10.68,-12.99,-12.59,-8.08,-13.31,-11.23,-7.86,-10.22,-10.56,-11.19
193204,-18.23,-20.25,-18.61,-13.7,-19.18,-14.34,-12.34,-15.41,-17.45,-18.36
193205,-8.66,-10.72,-20.32,-18.15,-24.93,-23.99,-19.21,-18.73,-22.91,-20.14
193206,0.44,-4.94,-1.43,4.57,6.88,4.64,-0.27,2.92,0.83,-1.62
193207,47.54,43.66,54.85,46.82,38.86,45.58,32.27,43.36,39.55,31.57
193208,122.8,82.87,76.17,66.32,56.59,59.5,51.81,53.2,43.92,32.44
193209,-15.47,-12.41,-11.85,-7.37,-5.32,-8.62,-3.86,-6.68,-2.08,-2.27
193210,-20.83,-20.14,-20.63,-21.65,-20.19,-21.29,-18.33,-17.65,-15.46,-11.54
193211,-12.35,-7.39,-11.61,-10.26,-7.4,-8.71,-8.59,-6.99,-6.6,-5.3
193212,-12.32,-14.05,-8.05,-9.93,-3.78,-0.02,-2.32,2.14,2.63,5.73
193301,0.62,0.01,2.34,6.8,3.92,4.15,-0.33,5.55,2.23,0.7
193302,-19.92,-11.89,-23.14,-19.79,-17.86,-19.22,-15.01,-15.34,-17.48,-14.79
193303,8.71,13.31,14.37,12.62,7.37,7.36,12.73,10.8,5.12,1.69
193304,50.02,50.37,50.91,54.61,51.91,57.83,52.15,48.1,46.86,35.17
193305,103.97,93.06,75.44,67.63,55.59,42.44,39.53,30.3,22.14,17.06
193306,30.54,30.22,25.31,16.03,23.74,18.74,13.12,14.77,15.22,11.88
193307,-3.3,-6.46,-5.36,-11.21,-15.24,-14.42,-8.34,-12.58,-10.39,-9.01
193308,1.8,4.88,6.58,7.81,12.71,15.2,14.97,16.91,14.06,11.11
193309,-18.41,-17.74,-16.72,-16.24,-14.17,-15.94,-13.94,-11.42,-10.38,-9.96
193310,-9.31,-14.68,-12.28,-11.63,-12.35,-11.83,-7.92,-10.04,-7.48,-7.94
193311,1.9,8.62,1.51,5.73,5.17,7.47,7.92,8.76,8.06,10.92
193312,-4.57,-0.08,5.99,2.13,3.12,4.52,1.29,2.23,2.17,1.59
193401,44.14,42.72,31.31,35.43,25.68,28.86,21.09,15.67,14.42,10.24
193402,7.83,8.28,3.14,1.19,-0.17,3.18,-2.37,-1.29,-2.99,-2.85
193403,1.52,0.68,2.3,0.87,1.66,-0.07,0.79,1.19,0.9,-0.38
193404,1.95,3.2,0.29,-1.38,-2,-2.27,-2.92,-1.4,-0.87,-2.07
193405,-14.56,-14.09,-10.12,-10.08,-9.39,-9.78,-10.43,-7.54,-8.18,-6.48
193406,-3.92,-0.05,-2.33,-2.45,2.12,1.31,1.04,4.55,3.09,2.64
193407,-20.66,-25.09,-24.14,-22.67,-20.21,-18.07,-15.71,-15.19,-14.27,-8.66
193408,5.44,13.67,13.87,8.83,10.81,8.7,7.41,6.63,5.87,4.91
193409,-4.36,-1.83,-3.08,-1.66,-1.48,-0.71,1,-0.87,-0.91,0.15
193410,-3.34,-1.56,-1.34,-2.09,-2.76,-1.77,-1.08,-1.49,-0.77,-1.82
193411,15.77,14.99,15.21,13.85,14.1,11.72,12.51,12.07,8.72,7.43
193412,2.08,2.25,3.84,1.91,2.7,1.99,2.44,2.25,0.46,-0.15
193501,-4.18,-3.14,-4.71,-3.1,-4.62,-2.9,-4.01,-4.81,-4.85,-2.94
193502,-13.42,-8.49,-5.35,-6.17,-2.92,-4.46,-2.69,-1.55,-1.97,-1.73
193503,-10.84,-12.16,-11.39,-7.68,-7.11,-7.74,-5.58,-4.81,-4.99,-2.71
193504,8.58,11.26,10.99,10.36,7.51,9.52,5.81,6.51,10.14,9.16
193505,0.76,0.77,1.69,4.08,0.1,1.47,0.68,1.87,4.76,3.71
193506,-4.87,2.51,3.32,5.23,4.55,6.99,6.93,5.97,7.47,5.75
193507,18.24,15,13.52,15.12,11.42,11.38,7.87,7.37,7.31,7.17
193508,16.05,16.3,12.02,7.82,8.54,6.13,3.07,2.42,3.6,2.05
193509,0.41,2.04,2.24,3.61,5.53,1.81,1.97,2.63,2.45,2.63
193510,5.99,9.08,11.64,9.04,9.13,10.18,5.82,7.94,9.31,6.29
193511,34.75,29.44,15.58,9.62,9.7,8.71,7,4.63,5.28,4.23
193512,3.79,2.18,6.97,7.94,5.73,10.46,7.42,6.5,4.57,3.78
193601,39.65,21.24,17.41,14.86,8.8,11.04,10.03,4.85,9.54,5.83
193602,5.29,10.06,5.5,4.76,5.9,2.79,2.84,4.7,4.07,1.78
