date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
1926,0.291,0.487,0.648,0.804,0.946,1.116,1.415,1.762,2.327,5.418
1927,0.333,0.524,0.726,0.863,0.993,1.15,1.342,1.886,2.675,5.684
1928,0.242,0.423,0.554,0.684,0.804,0.987,1.16,1.524,1.983,4.583
1929,0.18,0.302,0.415,0.523,0.638,0.792,0.948,1.18,1.649,3.416
1930,0.257,0.466,0.598,0.759,0.943,1.158,1.444,1.901,2.756,7.248
1931,0.392,0.701,0.945,1.211,1.473,2.002,2.606,3.593,5.347,16.343
1932,0.587,1.142,1.642,2.15,2.966,3.887,5.263,7.932,11.781,26.106
1933,0.568,1.116,1.638,2.279,3.178,4.212,5.439,7.727,12.694,29.771
1934,0.379,0.602,0.896,1.155,1.463,1.879,2.378,3.426,5.43,12.4
1935,0.362,0.517,0.79,0.989,1.247,1.619,2.299,3.447,5.122,11.097
1936,0.239,0.4,0.54,0.687,0.854,1.097,1.393,1.939,3.462,9.543
1937,0.197,0.311,0.435,0.519,0.639,0.751,0.935,1.146,1.829,5.026
1938,0.327,0.627,0.873,1.048,1.262,1.5,2.007,2.56,3.997,12.13
1939,0.264,0.427,0.623,0.831,0.979,1.193,1.532,2.012,3.002,8.827
1940,0.284,0.478,0.71,0.842,1.028,1.344,1.645,2.074,2.972,9.383
1941,0.34,0.567,0.777,0.961,1.145,1.487,1.789,2.418,3.39,13.834
1942,0.398,0.764,1.001,1.224,1.559,1.865,2.312,3.02,4.124,15.089
1943,0.424,0.735,1.016,1.197,1.422,1.735,2.094,2.785,4.188,15.247
1944,0.394,0.599,0.82,0.952,1.135,1.311,1.55,1.883,2.483,8.07
1945,0.351,0.52,0.658,0.789,0.915,1.04,1.224,1.464,1.909,4.66
1946,0.247,0.365,0.466,0.546,0.632,0.706,0.825,0.973,1.309,2.647
1947,0.31,0.47,0.58,0.679,0.774,0.885,1.035,1.237,1.607,3.49
1948,0.373,0.538,0.701,0.815,0.913,1.075,1.24,1.434,1.749,4.511
1949,0.432,0.658,0.883,1.031,1.162,1.343,1.559,1.816,2.268,4.957
1950,0.392,0.613,0.786,0.959,1.126,1.273,1.518,1.721,2.206,5.059
1951,0.387,0.613,0.749,0.883,0.982,1.111,1.297,1.49,1.742,3.419
1952,0.384,0.596,0.733,0.841,0.966,1.131,1.256,1.534,1.92,3.689
1953,0.375,0.594,0.732,0.877,0.996,1.152,1.337,1.581,1.922,3.332
1954,0.402,0.642,0.818,0.938,1.107,1.354,1.622,1.916,2.433,4.208
1955,0.294,0.499,0.618,0.685,0.808,0.928,1.092,1.296,1.579,2.848
1956,0.262,0.481,0.574,0.671,0.749,0.876,1.038,1.246,1.531,2.605
1957,0.272,0.481,0.575,0.694,0.809,0.921,1.096,1.326,1.675,3.084
1958,0.303,0.56,0.691,0.845,0.982,1.235,1.489,1.778,2.284,4.629
1959,0.237,0.409,0.525,0.611,0.715,0.849,1.028,1.208,1.495,2.767
1960,0.208,0.378,0.497,0.586,0.692,0.779,0.926,1.144,1.387,2.659
1961,0.209,0.379,0.516,0.605,0.72,0.846,1.031,1.315,1.677,2.992
1962,0.174,0.323,0.417,0.481,0.603,0.699,0.858,1.087,1.38,2.352
1963,0.225,0.395,0.526,0.611,0.736,0.871,1.062,1.272,1.598,3.412
1964,0.227,0.38,0.48,0.549,0.653,0.764,0.921,1.122,1.428,2.591
1965,0.211,0.342,0.435,0.526,0.611,0.724,0.857,1.029,1.287,2.159
1966,0.164,0.306,0.396,0.461,0.528,0.63,0.727,0.857,1.092,1.662
1967,0.173,0.357,0.467,0.576,0.689,0.785,0.899,1.091,1.35,2.14
1968,0.119,0.267,0.368,0.437,0.517,0.608,0.7,0.806,0.987,1.674
1969,0.123,0.232,0.308,0.38,0.44,0.516,0.587,0.677,0.792,1.344
1970,0.134,0.296,0.413,0.523,0.621,0.731,0.851,1,1.237,1.915
1971,0.174,0.357,0.495,0.619,0.711,0.806,0.942,1.089,1.399,2.279
1972,0.16,0.295,0.437,0.552,0.663,0.762,0.874,1.029,1.309,2.022
1973,0.145,0.289,0.448,0.565,0.685,0.805,0.926,1.056,1.281,2.104
1974,0.233,0.511,0.742,0.968,1.132,1.319,1.56,1.854,2.241,3.505
1975,0.405,0.84,1.251,1.498,1.775,2.02,2.34,2.816,3.6,5.702
1976,0.34,0.646,0.872,1.108,1.298,1.483,1.661,1.927,2.397,3.719
1977,0.335,0.573,0.724,0.885,1.025,1.127,1.287,1.44,1.762,2.579
1978,0.372,0.61,0.775,0.924,1.056,1.206,1.318,1.49,1.809,2.628
1979,0.365,0.624,0.826,0.996,1.129,1.3,1.433,1.636,1.878,2.743
1980,0.34,0.532,0.699,0.86,1.012,1.148,1.367,1.592,1.813,2.555
1981,0.242,0.448,0.599,0.765,0.923,1.123,1.331,1.544,1.843,2.54
