date,month,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
192607,07,1.06,3.36,5.36,8.43,11.84,16.11,26.63,47.25,91.35,317.88
192608,08,1.06,3.37,5.35,8.53,11.96,16.37,26.99,47.72,94.36,329.03
192609,09,1.07,3.46,5.55,8.78,12.27,17.07,27.33,48.3,95.04,340.21
192610,10,1.08,3.38,5.41,8.69,12.18,17.03,26.61,48.39,93.67,342.62
192611,11,1.03,3.31,5.23,8.3,11.79,16.53,25.61,46.67,90.3,333.2
192612,12,1,3.29,5.1,8.74,12.19,17.05,26.42,47.98,93.46,338.85
192701,01,0.99,3.4,5.35,8.91,12.23,17.13,26.58,49.23,95.55,346.33
192702,02,1.04,3.45,5.4,9.14,12.13,17.46,26.96,49.49,95.71,344.65
192703,03,1.11,3.72,5.68,9.69,12.76,18.82,28.8,51.32,100.12,356.88
192704,04,1.05,3.6,5.62,9.55,12.29,18.13,28.63,50.13,98.75,361.07
192705,05,1.1,3.78,5.77,9.58,12.33,18.11,28.59,49.99,98.26,364.99
192706,06,1.21,4.14,6.3,10.39,12.97,19.65,30.34,52.76,104.18,383.08
192707,07,1.03,3.26,6.19,9.32,12.86,18.74,29.42,50.28,96.69,370.65
192708,08,1.1,3.42,6.46,9.85,13.24,19.76,31.03,53.27,102.6,401.28
192709,09,1.08,3.41,6.43,9.84,13.07,19.81,31.14,54.3,103.89,411.08
192710,10,1.08,3.39,6.52,10.08,13.19,20.61,32.69,56.39,108.02,431.4
192711,11,1.07,3.12,6.34,9.96,12.84,20.01,31.71,54.54,102.99,416.2
192712,12,1.23,3.45,7.18,10.57,13.75,21.59,34.18,58.64,110.46,439.47
192801,01,1.27,3.59,7.23,10.71,14.05,22.77,34.47,60.34,115.52,442.88
192802,02,1.41,3.78,7.51,10.9,14.46,22.97,35.05,60.71,116.05,435.47
192803,03,1.39,3.7,7.26,10.51,13.85,22.55,34.09,58.2,113.59,430.78
192804,04,1.45,3.84,7.95,11.15,14.97,24.24,35.84,64.86,121.16,470.45
192805,05,1.79,4.16,8.78,12.04,16.08,25.34,38.42,67.65,126.39,486.71
192806,06,1.98,4.48,9.27,12.25,16.36,25.86,38.84,68.85,128.51,490.41
192807,07,1.53,4.21,7.12,11.13,16.77,24.77,36.77,63.39,125,474.06
192808,08,1.52,4.27,6.99,11.02,16.9,25.02,37.14,63.8,126.93,477.02
192809,09,1.54,4.44,7.17,11.64,17.73,26.81,39.97,68.94,134.76,508.04
192810,10,1.67,4.61,7.47,12.37,18.37,28.48,41.86,72.31,138.41,518.19
192811,11,1.72,4.77,7.57,12.67,18.96,28.79,42.16,71.87,141.55,526.33
192812,12,1.92,5.54,8.27,13.62,20.94,33.07,47.2,78.83,155.58,591.02
192901,01,1.75,5.4,8.03,13.52,20.97,33.09,48.34,79.57,156.95,588.49
192902,02,1.83,5.6,8.01,13.98,21.19,33.65,50.28,82.95,165.61,620.73
192903,03,1.83,5.55,8.14,14.19,21.16,34.15,51.6,82.26,164.21,617.79
192904,04,1.8,5.31,7.83,13.3,20.31,32.4,49.18,79.6,162.46,621.24
192905,05,1.86,5.28,7.7,13.7,20.65,32.86,50.77,79.71,164.79,632.27
192906,06,1.57,4.6,6.51,12.33,18.75,29.7,46.59,75.09,157.77,597.22
192907,07,1.52,4.65,8.56,13.66,21.37,30.85,47.11,85.35,166.92,652.13
192908,08,1.5,4.57,8.62,13.91,21.79,31.37,48.13,87.28,174.52,687.54
192909,09,1.46,4.44,8.7,14.05,21.8,32.2,49.97,90.6,187.91,756.62
192910,10,1.38,4.1,8.33,13.38,21.09,31,47.63,87.79,180.96,716.64
192911,11,1.07,3.27,6.4,10.93,16.45,25.1,36.84,69.29,146.12,580.13
192912,12,0.95,2.78,5.53,9.51,14.35,22.05,32.26,61.28,129.59,505.11
193001,01,0.84,2.62,5.12,9.16,14.17,21.67,31.98,60.14,133.41,514.37
193002,02,0.98,2.94,5.77,10.01,15.05,23.31,34.21,63.11,138.65,539.01
193003,03,1.02,3.03,5.9,10.3,15.3,24.03,34.31,64.56,142.52,552.24
193004,04,1.15,3.39,6.57,11,17.14,25.5,36.81,69.64,149.91,593.32
193005,05,1.04,3.17,6.47,10.25,16.72,24.07,34.39,66.14,142.35,587.48
193006,06,1,3.02,6.1,9.93,16.34,23.3,32.74,64.49,140.47,580.6
193007,07,0.78,2.38,4.63,7.73,11.57,18.42,27.98,51.83,115.98,518.71
193008,08,0.81,2.44,4.73,8.08,12.02,19.23,28.99,53.6,121.35,539.79
193009,09,0.76,2.34,4.63,7.95,11.59,19.04,28.52,53.56,120.12,542.13
193010,10,0.64,1.81,3.78,6.74,9.85,16.13,23.63,46.5,102.85,477.04
193011,11,0.6,1.6,3.36,5.98,8.88,14.35,21.49,41.63,90.84,437.27
193012,12,0.57,1.54,3.26,5.81,8.74,14.1,20.86,40.7,87.99,422.82
193101,01,0.46,1.26,2.72,4.97,7.68,12.57,18.46,36.59,77.98,394.48
193102,02,0.56,1.48,3.16,5.59,8.36,13.86,19.62,39.06,85.07,414.06
193103,03,0.71,1.85,3.6,6.2,9.45,15.74,22.15,42.54,95.18,454.9
193104,04,0.7,1.69,3.44,5.95,8.89,14.77,20.27,39.2,86.55,427.19
193105,05,0.58,1.39,2.86,4.95,7.61,12.6,17.43,34.46,75.47,390.16
193106,06,0.52,1.18,2.56,4.49,6.71,10.82,14.85,28.8,63.21,339.65
193107,07,0.46,1.48,2.79,4.75,7.3,11.25,18.15,33.45,74.9,404.67
193108,08,0.46,1.36,2.63,4.41,6.64,10.28,16.92,31.07,68.89,378.41
193109,09,0.42,1.29,2.54,4.39,6.43,10.12,16.73,31.53,68.32,376.38
193110,10,0.3,0.86,1.74,2.98,4.31,6.77,12.06,21.64,45.84,269.12
193111,11,0.3,0.92,1.84,3.28,4.62,7.47,12.93,23.69,49.46,288.93
193112,12,0.27,0.81,1.7,2.96,4.35,6.78,11.78,21.64,44.28,261.27
193201,01,0.21,0.62,1.37,2.53,3.49,5.64,10.48,18.35,36.93,225.75
193202,02,0.24,0.67,1.44,2.67,3.65,5.74,10.25,18.05,37.82,219.89
193203,03,0.24,0.71,1.49,2.6,3.62,5.75,10.44,18.58,39.05,232.7
193204,04,0.21,0.62,1.3,2.37,3.1,5.07,9.55,16.55,34.66,204.94
193205,05,0.17,0.47,1.01,2.04,2.5,4.32,8.08,13.59,28.44,166.89
193206,06,0.16,0.42,0.81,1.64,1.88,3.27,6.5,10.99,21.83,131.95
193207,07,0.12,0.35,0.67,1.17,1.91,2.88,5.13,9.53,22.36,134.47
193208,08,0.18,0.51,1.03,1.72,2.64,4.18,6.76,13.62,31.08,176.67
193209,09,0.4,0.92,1.83,2.86,4.14,6.71,10.25,20.85,44.62,232.66
193210,10,0.34,0.81,1.62,2.65,3.9,6.11,9.81,19.37,43.44,225.84
193211,11,0.27,0.65,1.28,2.07,3.11,4.81,8,15.91,36.6,199.49
193212,12,0.24,0.58,1.13,1.86,2.87,4.43,7.29,14.77,34.06,187.66
193301,01,0.21,0.5,1.04,1.67,2.75,4.41,7.07,14.97,34.69,196.61
193302,02,0.21,0.5,1.07,1.79,2.88,4.59,6.99,15.77,35.36,197.64
193303,03,0.17,0.44,0.82,1.42,2.36,3.75,5.93,13.33,29.11,167.21
193304,04,0.18,0.5,0.94,1.6,2.53,4.02,6.65,14.69,30.41,168.54
193305,05,0.27,0.75,1.43,2.48,3.83,6.33,10.11,21.73,44.58,227.45
193306,06,0.58,1.45,2.52,4.15,5.95,9.02,14.08,27.98,54.39,265.2
193307,07,0.67,1.51,2.61,4.24,6.33,9.67,17.17,30.61,62.32,305.19
193308,08,0.65,1.41,2.47,3.76,5.4,8.27,15.71,26.73,55.72,277.45
193309,09,0.67,1.48,2.63,4.05,6.09,9.52,18.05,31.22,63.5,307.41
193310,10,0.55,1.22,2.19,3.38,5.21,7.98,15.48,27.55,56.68,275.35
193311,11,0.5,1.04,1.92,2.99,4.56,7.03,14.23,24.71,52.32,253.18
193312,12,0.51,1.13,1.95,3.15,4.85,7.55,15.31,26.84,56.41,279.15
193401,01,0.48,1.14,2.06,3.22,4.98,7.86,15.45,27.25,57.35,282.41
193402,02,0.69,1.62,2.7,4.35,6.25,10.12,18.68,31.47,65.44,310.94
193403,03,0.75,1.76,2.78,4.39,6.24,10.43,18.21,31.02,63.36,300.73
193404,04,0.76,1.77,2.84,4.42,6.33,10.39,18.3,31.26,63.69,298.16
193405,05,0.78,1.85,2.85,4.36,6.19,10.21,17.74,30.77,63.01,291.61
193406,06,0.66,1.59,2.56,3.91,5.61,9.2,15.86,28.41,57.73,271.59
193407,07,0.49,1.3,2.32,3.69,5.63,9.13,16.3,28.73,58.38,275.94
193408,08,0.39,0.97,1.76,2.85,4.48,7.46,13.71,24.3,49.9,251.6
193409,09,0.41,1.11,2,3.1,4.96,8.1,14.69,25.87,52.65,262.32
193410,10,0.39,1.09,1.93,3.04,4.88,8.02,14.77,25.51,52,261.42
193411,11,0.39,1.07,1.91,2.97,4.74,7.87,14.56,25.07,51.46,256.35
193412,12,0.45,1.23,2.19,3.38,5.41,8.76,16.34,28.03,55.71,274.12
193501,01,0.46,1.25,2.27,3.44,5.52,8.91,16.66,28.46,55.72,272.09
193502,02,0.44,1.21,2.16,3.33,5.26,8.76,15.93,27.03,52.85,263.67
193503,03,0.38,1.11,2.05,3.12,5.1,8.36,15.47,26.56,51.69,257.71
193504,04,0.34,0.99,1.81,2.87,4.71,7.69,14.53,25.16,48.92,249.24
193505,05,0.38,1.1,2.01,3.17,4.99,8.41,15.34,26.73,53.75,271.79
193506,06,0.38,1.1,2.04,3.29,4.98,8.51,15.41,27.18,56.1,280.74
193507,07,0.35,0.98,1.99,3.4,5.64,9.3,16.29,28.63,61.46,301.8
193508,08,0.41,1.13,2.26,3.91,6.28,10.35,17.54,30.69,65.78,323.04
193509,09,0.48,1.31,2.53,4.2,6.81,10.96,18.05,31.37,67.71,328.21
193510,10,0.48,1.33,2.58,4.35,7.16,11.13,18.33,32.05,69.19,335.21
193511,11,0.51,1.45,2.88,4.74,7.81,12.25,19.35,34.52,75.35,356.01
193512,12,0.69,1.88,3.33,5.18,8.55,13.29,20.67,36.06,79.12,368.89
193601,01,0.71,1.92,3.56,5.58,9.02,14.62,22.11,38.19,82.31,381.2
193602,02,1,2.33,4.17,6.4,9.81,16.22,24.29,39.97,89.92,402.82
193603,03,1.09,2.56,4.4,6.7,10.36,16.64,24.95,41.79,93.41,408.44
193604,04,1.1,2.6,4.47,6.77,10.53,17.6,25.11,41.17,93.6,411.64
193605,05,0.83,2.22,3.74,5.72,9.26,15.66,22.57,37.01,83.8,383.45
193606,06,0.89,2.34,3.87,6.13,9.91,16.56,23.44,38.37,87.69,401.95
193607,07,0.76,2.15,4.03,6.25,10.19,15.16,22.61,37.21,85.75,409.36
193608,08,0.84,2.34,4.3,6.93,11.08,16.52,24.45,40.18,90.23,435.28
193609,09,0.86,2.41,4.28,7.16,11.32,16.95,25.15,40.94,91.07,435.63
193610,10,0.92,2.55,4.41,7.37,11.81,17.36,25.5,42.01,91.82,435.68
193611,11,0.98,2.74,4.68,7.85,12.31,18.33,26.78,44.82,97.17,469.22
193612,12,1.23,3,5.14,8.65,13.55,19.57,27.98,47.12,99.21,475.55
193701,01,1.3,3,5.31,9.02,13.92,19.73,28.65,47.22,99.68,470.16
193702,02,1.53,3.32,5.85,9.6,14.98,21.06,29.93,49.16,102.07,482.85
193703,03,1.62,3.57,5.83,9.79,15.48,21.43,30.85,50.21,103.89,483.79
193704,04,1.63,3.69,5.73,9.73,15.34,21.3,31.17,50.53,104.57,477.93
193705,05,1.36,3.05,5.09,8.5,13.83,19.57,28.44,45.44,96.85,445.77
193706,06,1.3,2.96,4.88,8.35,13.71,18.82,27.81,44.54,93.64,443.79
193707,07,1.01,2.82,4.61,7.73,11.79,16.63,24.73,40.57,88,422.17
193708,08,1.14,3.14,5.04,8.45,12.96,18.09,26.89,43.85,96.4,458.51
193709,09,1.04,2.94,4.81,7.98,12.31,17.04,25.53,41.74,91.59,433.34
193710,10,0.8,2.24,3.73,6.25,9.68,13.57,20.35,34.64,76.4,381.11
193711,11,0.73,2.05,3.27,5.57,8.57,11.97,18.09,31.61,68.25,345.17
193712,12,0.63,1.76,2.83,4.92,7.52,10.81,15.95,28.62,61.69,313.73
193801,01,0.55,1.48,2.41,4.26,6.49,9.56,14.27,26.78,57.76,301.58
193802,02,0.58,1.57,2.54,4.43,6.84,9.83,14.55,27.28,57.1,301.61
193803,03,0.57,1.63,2.71,4.7,7.28,10.43,15.4,28.83,62.38,315.67
193804,04,0.41,1.09,1.91,3.36,5.08,7.71,11.19,21.83,46.63,241.12
193805,05,0.49,1.35,2.3,3.97,6.17,9.01,13,25.38,53.83,273.22
193806,06,0.45,1.24,2.13,3.71,5.75,8.43,12,24.23,50.84,263.18
193807,07,0.55,1.63,2.98,4.83,7.24,10.5,15.39,27.07,63.89,319.72
193808,08,0.66,1.89,3.44,5.49,8.23,11.64,17.25,30.26,68.32,339.27
193809,09,0.57,1.72,3.16,5.22,7.74,11.05,16.32,28.86,65.43,331.86
193810,10,0.54,1.65,3.07,5.08,7.54,10.85,16.12,28.35,65.6,335.16
193811,11,0.66,1.88,3.69,5.8,8.57,12.31,18.28,31.48,72.56,354.91
193812,12,0.65,1.78,3.48,5.51,8.22,12.07,17.6,30.95,70.7,347.87
193901,01,0.61,1.77,3.58,5.77,8.51,12.78,18.43,32.36,73.56,359.36
193902,02,0.58,1.61,3.21,5.26,7.72,11.7,16.87,29.86,67.58,341.02
193903,03,0.57,1.69,3.34,5.47,8.19,12.26,17.66,30.9,70.72,349.55
193904,04,0.46,1.35,2.61,4.42,6.61,10.03,13.92,25.9,59.15,314.4
193905,05,0.46,1.37,2.65,4.44,6.56,9.98,13.85,25.84,58.87,312.88
193906,06,0.49,1.46,2.9,4.84,7.22,11,15.26,27.96,63.38,330.05
193907,07,0.48,1.34,2.72,4.47,6.75,9.81,14.64,26.85,58.48,318.4
193908,08,0.54,1.55,3.06,5.2,7.81,11.11,17.04,30.3,65.66,346.51
193909,09,0.49,1.33,2.66,4.52,6.92,9.95,14.9,27.22,58.76,327.16
193910,10,1,2.17,3.86,6.34,9.33,12.83,18.98,31.99,70.59,371.39
193911,11,0.87,2.05,3.75,6.18,9.36,12.74,18.84,32.29,69.82,369.16
193912,12,0.7,1.76,3.31,5.56,8.5,11.74,17.34,30.44,64.99,357.17
194001,01,0.68,1.76,3.3,5.69,8.79,12.08,17.78,30.88,66.35,365.9
194002,02,0.65,1.69,3.24,5.47,8.61,11.77,17.36,30.03,64.28,357.13
194003,03,0.69,1.8,3.36,5.59,8.91,12.14,17.83,30.67,64.42,359.56
194004,04,0.69,1.85,3.49,5.69,9.23,12.44,18.31,31.19,65.82,364.49
194005,05,0.72,1.99,3.65,5.77,9.52,12.75,18.58,30.61,65.33,364.3
194006,06,0.47,1.34,2.58,4.26,6.71,9.46,12.95,22.79,49.59,287.45
194007,07,0.48,1.4,2.82,4.41,6.82,9.59,14.14,24.04,51.46,303.3
194008,08,0.5,1.44,2.89,4.56,7.15,10.15,14.65,24.89,52.9,311.83
194009,09,0.5,1.47,3,4.68,7.28,10.29,15.07,25.22,54.17,315.9
194010,10,0.53,1.54,3.11,4.92,7.6,10.72,15.34,25.82,55.67,320.63
194011,11,0.52,1.65,3.27,5.26,7.87,11.23,16.21,27.56,57.9,327.05
194012,12,0.52,1.66,3.28,5.22,7.88,11.25,16.06,27.06,56.34,317.3
194101,01,0.48,1.59,3.19,5.07,7.71,11.07,15.83,26.62,55.13,319.53
194102,02,0.51,1.56,3.15,4.92,7.44,10.48,15.21,25.52,53.37,304.79
194103,03,0.51,1.49,3.09,4.77,7.19,10.31,14.82,25,52.13,298.91
194104,04,0.52,1.53,3.17,4.81,7.24,10.34,14.8,24.98,52.66,299.31
194105,05,0.49,1.43,2.98,4.47,6.79,9.84,13.8,23.58,50.17,282.19
194106,06,0.5,1.42,3.04,4.52,6.82,9.94,13.83,23.85,50.61,283.64
194107,07,0.52,1.58,3.1,4.88,7.15,9.97,14.3,24.88,52.21,297.83
194108,08,0.67,1.91,3.46,5.49,7.91,10.89,16,27.06,55.81,310.8
194109,09,0.66,1.89,3.46,5.4,7.74,10.73,15.95,27.09,55.17,308.28
194110,10,0.62,1.8,3.37,5.26,7.57,10.46,15.64,26.71,54.51,304.4
194111,11,0.57,1.68,3.21,4.88,7.07,9.72,14.83,25.27,51.36,288.13
194112,12,0.52,1.58,3.04,4.73,6.82,9.47,14.4,24.72,49.42,279.13
194201,01,0.44,1.33,2.7,4.19,6.16,8.96,13.28,22.95,45.8,264.8
194202,02,0.59,1.57,2.98,4.68,6.61,9.37,13.96,23.4,47.79,262.08
194203,03,0.58,1.52,2.92,4.59,6.56,9.13,13.72,22.77,46.43,253.33
194204,04,0.54,1.44,2.76,4.4,6.17,8.74,12.83,21.33,43.39,233.83
194205,05,0.52,1.36,2.63,4.14,5.92,8.25,12.02,20.1,40.99,224.12
194206,06,0.51,1.36,2.68,4.18,5.98,8.41,12.39,20.83,42.67,237.68
194207,07,0.47,1.4,2.61,4.12,5.95,8.23,12.36,21.36,43.27,242.77
194208,08,0.5,1.49,2.69,4.28,6.2,8.51,12.84,22.34,45.09,249.83
194209,09,0.52,1.51,2.78,4.35,6.31,8.74,12.93,22.79,45.89,252.16
194210,10,0.58,1.59,2.89,4.47,6.44,8.89,13.22,23.25,46.93,256.95
194211,11,0.66,1.78,3.21,4.99,6.97,9.76,14.45,25.15,50.09,272.4
194212,12,0.63,1.7,3.16,4.72,6.73,9.53,14.29,24.48,49.4,271.59
194301,01,0.62,1.67,3.22,4.86,6.91,9.76,14.7,25.62,52.21,283.04
194302,02,0.87,2.11,3.74,5.66,7.84,10.86,16.09,27.49,56.62,299.59
194303,03,1.19,2.48,4.21,6.35,8.62,11.81,17.33,29.13,60.97,313.26
194304,04,1.28,2.87,4.88,7.12,9.37,13.06,18.67,31.89,66.39,324.86
194305,05,1.43,3.06,5.14,7.45,9.55,13.51,19.53,31.92,67.46,324.66
194306,06,1.74,3.46,5.65,8.34,10.36,14.27,20.76,33.49,70.62,340.33
194307,07,1.35,3.19,5.01,7.62,10.27,14.2,20.7,35.05,70.96,348.93
194308,08,1.25,2.93,4.6,7.15,9.43,13.36,19.13,32.91,66.69,334.5
194309,09,1.21,2.91,4.58,7.14,9.51,13.44,19.28,33.25,67.55,337.35
194310,10,1.26,3.01,4.75,7.4,9.73,13.76,19.84,33.79,69.11,343.05
194311,11,1.25,3.02,4.72,7.47,9.61,13.7,19.67,33.51,67.96,338.79
194312,12,1.08,2.69,4.25,6.9,8.69,12.44,17.74,30.63,62.15,319.52
194401,01,1.23,2.97,4.63,7.53,9.45,13.54,19.37,32.77,66.57,334.51
194402,02,1.36,3.13,4.88,7.87,9.82,14.02,19.89,33.53,67.92,338.26
194403,03,1.42,3.2,4.92,7.77,9.93,14.23,19.89,33.9,67.89,337.21
194404,04,1.49,3.41,5.14,8.09,10.24,14.74,20.51,34.43,69.92,342.48
194405,05,1.43,3.33,4.93,7.85,9.91,14.33,19.86,33.24,68.3,338.19
194406,06,1.54,3.57,5.22,8.27,10.57,15.23,21.2,34.94,72.08,350.67
194407,07,1.86,4.01,6.06,8.76,11.95,16.54,23.62,37.36,76.48,365.14
194408,08,1.8,3.96,5.95,8.63,11.92,16.26,23.24,36.94,74.86,359.36
194409,09,1.88,4.02,6.14,8.87,12.35,16.68,23.81,37.52,76.43,361.09
194410,10,1.9,4.03,6.14,8.79,12.32,16.69,23.58,37.52,75.99,359.86
194411,11,1.9,4.07,6.13,8.73,12.27,16.56,23.33,37.52,75.79,360.83
194412,12,1.96,4.14,6.32,8.82,12.48,16.61,23.6,38.15,76.38,363.25
194501,01,2.16,4.44,6.7,9.47,13.27,17.56,25.17,39.76,79.64,372.67
194502,02,2.3,4.63,7.11,9.84,13.84,18.19,25.79,40.78,81.53,377.9
194503,03,2.59,5,7.72,10.72,14.97,19.58,28.02,43.95,86.81,396.42
194504,04,2.28,4.55,7.33,10.18,14.04,18.38,26.52,42.14,82.43,381.58
194505,05,2.51,4.91,7.96,11.16,15.26,20.08,29.1,45.46,89.55,408.97
194506,06,2.64,5.05,8.22,11.4,15.49,20.54,29.89,45.97,90.1,413.1
194507,07,2.9,5.63,8.61,11.57,16.06,20.75,29.87,46.92,89.05,403.81
194508,08,2.78,5.41,8.28,11.11,15.31,19.94,29.1,45.19,85.8,397.86
194509,09,2.91,5.74,8.84,11.77,16.47,21.18,31.04,47.96,92.76,417.99
194510,10,3.11,6.15,9.34,12.55,17.48,22.51,33.08,50.78,97.84,433.14
194511,11,3.52,6.76,9.78,13.37,18.32,23.72,34.79,53.36,102.83,445.63
194512,12,4.04,7.42,10.81,14.63,19.9,25.68,37.72,58.53,107.63,459.12
194601,01,4.1,7.7,11.07,15.26,20.02,26.03,38.98,58.93,109.79,459.86
194602,02,4.79,8.67,12.26,16.44,21.81,28.03,42.39,63.17,115.69,484.66
194603,03,4.43,8.06,11.37,15.33,20.24,25.87,39.41,59.55,107.72,457.63
194604,04,4.53,8.39,11.79,16.53,21.6,27.79,42.67,63.43,114.93,479.96
194605,05,4.98,8.99,12.47,17.8,22.61,29.26,44.87,65.97,118.28,499.53
194606,06,5.1,9.54,13.11,18.81,23.85,31.1,47.39,69.61,123.49,512.1
194607,07,4.6,8.98,12.59,16.78,22.44,29.6,42.37,65.18,118.17,490.37
194608,08,4.35,8.48,11.87,16.16,21.43,28.32,40.59,62.52,114.4,480.21
194609,09,3.97,7.72,10.83,14.84,19.74,25.97,37.22,58.73,107.17,448.58
194610,10,3.27,6.46,9.23,12.71,16.89,22.64,32.16,51.75,95.52,407.55
194611,11,3.26,6.35,8.99,12.5,16.83,22.05,31.54,51.04,93.51,401.21
194612,12,3.21,6.24,8.92,12.34,16.75,21.97,31.42,50.77,92.18,398.78
194701,01,3.21,6.51,9.2,12.98,17.39,23.01,33.05,53.03,96.87,415.06
194702,02,3.39,6.78,9.54,13.36,17.67,23.46,33.38,53.27,97.65,419.46
194703,03,3.4,6.73,9.54,13.24,17.46,23.16,32.91,52.28,95.93,412.78
194704,04,3.25,6.44,9.07,12.79,16.99,22.49,31.88,51.49,93.25,406.29
194705,05,2.88,5.87,8.35,11.68,15.6,20.69,29.25,47.84,86.69,392.7
194706,06,2.68,5.52,7.91,11.21,14.96,19.75,28.32,45.81,84.31,390.83
194707,07,2.69,5.42,7.91,10.98,15.24,20.55,29.7,46.81,86.74,400.67
194708,08,2.91,5.82,8.53,11.57,16,22,31.4,49.34,90.39,413.6
194709,09,2.8,5.69,8.29,11.39,15.73,21.63,31.19,47.8,88.15,404.27
194710,10,2.83,5.68,8.39,11.36,15.75,21.6,31.12,47.87,88.09,398.26
194711,11,2.92,5.95,8.67,11.69,16.08,22.36,32.11,48.53,90.25,407.13
194712,12,2.81,5.71,8.27,11.2,15.44,21.68,30.96,46.68,87.45,397.07
194801,01,2.84,5.71,8.3,11.24,15.51,21.93,31.5,47.57,89.78,407.43
194802,02,2.91,5.61,8.11,11.03,15.17,21.19,30.86,46.14,85.73,389.21
194803,03,2.69,5.19,7.54,10.26,14.33,19.63,28.86,43.66,81.09,372.32
194804,04,2.94,5.73,8.15,11.1,15.51,21.46,31.42,47.86,89.67,396.2
194805,05,3.11,5.92,8.44,11.4,15.84,22.15,33.28,49.82,92.81,409.07
194806,06,3.47,6.39,9.14,12.36,16.91,24.17,35.74,53.24,100.55,434.72
194807,07,3.03,6.02,8.65,12.06,16.71,23.16,34.15,51.43,95.14,435.11
194808,08,2.84,5.67,8.14,11.51,15.74,21.94,32.2,49.05,89.35,413.67
194809,09,2.8,5.55,8.05,11.39,15.57,21.96,31.99,48.98,88.82,412.92
194810,10,2.63,5.23,7.7,10.91,14.73,20.91,30.36,46.52,85.6,400.95
194811,11,2.76,5.46,8.12,11.3,15.37,21.9,32.01,49.08,89.57,425.74
194812,12,2.45,4.73,7.11,10.13,13.64,19.45,27.92,43.9,79.65,384.16
194901,01,2.35,4.66,7.07,10.02,13.59,19.66,28.21,44.73,81.74,395.66
194902,02,2.42,4.82,7.18,10.09,13.75,19.54,28.62,45.34,82.19,394.55
194903,03,2.3,4.59,6.76,9.49,13.09,18.73,27.49,44.03,80.11,380.11
194904,04,2.45,4.86,7.15,9.98,13.87,19.68,28.88,45.53,83.26,391.61
194905,05,2.38,4.7,6.94,9.53,13.55,18.75,27.8,44.13,81.15,385.99
194906,06,2.23,4.36,6.53,9.15,13.05,17.84,26.58,43.03,79.13,371.81
194907,07,1.98,4.1,6.12,8.74,12.39,17.49,25.97,42.24,78.95,366.45
194908,08,2.12,4.3,6.46,9.32,13.17,18.6,27.63,44.81,82.77,386.07
194909,09,2.14,4.41,6.55,9.51,13.59,18.86,28.17,45.51,83.59,394.34
194910,10,2.26,4.54,6.8,9.94,14.04,19.57,29.21,47.13,86.32,403.18
194911,11,2.43,4.74,7.1,10.22,14.53,20.21,29.89,48.34,88.23,416.39
194912,12,2.37,4.68,7.05,10.22,14.51,20.27,30.27,48.93,89.8,417.38
